symbol,close,demand_zone_D,demand_fresh,demand_quality,near_demand,supply_zone_D,near_supply,demand_zone_W,supply_zone_W,last_BoS,last_ChoCh,bos_dir,bull_OB,bear_OB,bull_OB_unmitigated,unfilled_bull_FVG,unfilled_bear_FVG,nearest_bull_FVG_below,nearest_bear_FVG_above,buyside_liq_above,sellside_liq_below,liquidity_swept,equal_highs,equal_lows,pd_zone,range_pos_pct,range_high,range_low,in_discount,structure_D,structure_W,structure_aligned
LLOYDSME,1777.0,"1691.2-1814.0 (Moderate, tested, -2.04% away)",False,Moderate,True,none,False,"1084.0-1351.9 (Moderate, tested, 31.44% away)",none,bull @ 1790.0 on 2026-05-25,bull @ 1790.0 on 2026-05-25,bull,"1700.0-1778.0 (2026-06-24, mitigated)","1743.0-1809.0 (2026-06-22, mitigated)",False,9,1,1721.4-1788.2 (2026-06-30),1840.0-1858.8 (2026-06-01),1793.55,1693.7,buy-side swept (bearish stop-hunt),4,2,Premium,86.8,1888.6,1042.9,False,ranging,bullish (HH/HL),False
PREMIERENE,1046.8,"767.25-830.9 (Moderate, FRESH, 25.98% away)",True,Moderate,False,none,False,none,none,bear @ 1041.0 on 2026-06-29,bear @ 1041.0 on 2026-06-29,bear,"773.25-804.0 (2026-03-13, UNMITIGATED)","1065.5-1103.8 (2026-06-08, mitigated)",True,5,0,1005.0-1015.8 (2026-05-27),none,1050.73,1019.3,buy-side swept (bearish stop-hunt),2,2,Premium,86.9,1103.9,666.9,False,bearish (LH/LL),ranging,False
STOVEKRAFT,781.85,"456.5-495.0 (Moderate, FRESH, 57.95% away)",True,Moderate,False,none,False,none,"663.05-804.05 (Moderate, tested, -15.19% away)",bull @ 681.0 on 2026-06-18,bull @ 598.9 on 2026-05-27,bull,"621.6-663.9 (2026-06-08, mitigated)","555.0-598.9 (2026-05-12, mitigated)",False,9,0,698.9-731.5 (2026-06-23),none,none,555.2,none,2,2,Premium,94.9,800.0,447.05,False,ranging,bearish (LH/LL),False
CARBORUNIV,1139.6,"993.2-1082.5 (Moderate, FRESH, 5.27% away)",True,Moderate,True,none,False,"993.2-1166.4 (Moderate, tested, -2.3% away)",none,bull @ 1076.3 on 2026-06-17,bull @ 1076.3 on 2026-06-17,bull,"1051.8-1073.7 (2026-06-16, UNMITIGATED)","766.1-792.0 (2026-03-12, mitigated)",True,7,2,1073.7-1136.1 (2026-06-18),1147.7-1158.0 (2026-07-03),none,1005.2,none,0,3,Premium,70.7,1306.9,735.2,False,bullish (HH/HL),bearish (LH/LL),False
539479,75.2,"48.0-57.4 (Moderate, tested, 31.01% away)",False,Moderate,False,"66.02-73.9 (Moderate, tested, -12.21% above)",False,none,none,bull @ 80.0 on 2026-06-19,bull @ 64.5 on 2026-04-27,bull,"75.31-77.5 (2026-06-18, mitigated)","57.0-59.5 (2026-04-01, mitigated)",False,3,1,68.2-69.81 (2026-06-08),76.97-77.6 (2026-07-02),81.95,65.06,none,1,1,Premium,79.5,83.9,41.55,False,bullish (HH/HL),ranging,False
DEEPAKFERT,1649.3,"1010.0-1093.7 (Moderate, FRESH, 50.8% away)",True,Moderate,False,none,False,"866.4-1091.8 (Moderate, FRESH, 51.06% away)",none,bull @ 1625.0 on 2026-07-02,bull @ 1364.4 on 2026-05-21,bull,"1537.1-1588.9 (2026-06-29, UNMITIGATED)","1511.1-1584.0 (2026-06-12, mitigated)",True,8,0,1610.0-1636.0 (2026-07-03),none,none,1205.83,none,0,2,Premium,96.2,1680.0,866.4,False,bullish (HH/HL),bearish (LH/LL),False
GRINDWELL,2088.5,"1491.2-1554.0 (Moderate, tested, 34.4% away)",False,Moderate,False,none,False,none,none,bull @ 1984.9 on 2026-06-15,bull @ 1681.7 on 2026-05-08,bull,"2097.0-2150.8 (2026-06-22, mitigated)","2121.2-2294.4 (2026-06-25, mitigated)",False,10,0,2040.0-2044.5 (2026-06-17),none,none,1545.4,none,3,2,Premium,78.7,2294.4,1329.0,False,bullish (HH/HL),bearish (LH/LL),False
PIXTRANS,1810.6,"1598.2-1659.0 (Moderate, FRESH, 9.14% away)",True,Moderate,False,none,False,"1252.0-1410.0 (Moderate, tested, 28.41% away)",none,bull @ 1659.0 on 2026-06-25,bull @ 1320.0 on 2026-02-03,bull,"1598.2-1626.0 (2026-06-24, UNMITIGATED)","1503.2-1608.1 (2026-04-29, mitigated)",True,2,0,1626.0-1776.0 (2026-06-29),none,none,1425.25,none,3,3,Premium,82.4,1930.0,1252.0,False,bullish (HH/HL),bullish (HH/HL),True
ANANDRATHI,2061.7,"1505.1-1548.5 (Moderate, tested, 33.14% away)",False,Moderate,False,none,False,"1451.5-1612.0 (Moderate, FRESH, 27.9% away)",none,bull @ 1953.6 on 2026-06-29,bull @ 1821.3 on 2026-06-19,bull,"1875.4-1923.6 (2026-06-24, UNMITIGATED)",none,True,8,0,2004.0-2009.8 (2026-07-03),none,none,1767.47,none,0,4,Premium,96.8,2085.0,1353.85,False,ranging,bullish (HH/HL),False
GOLDIAM,480.4,"407.0-458.0 (Moderate, tested, 4.89% away)",False,Moderate,True,none,False,"283.7-392.3 (Moderate, tested, 22.46% away)",none,bull @ 448.65 on 2026-06-12,bull @ 448.65 on 2026-06-12,bull,"418.75-437.7 (2026-06-11, mitigated)","418.7-448.65 (2026-05-08, mitigated)",False,5,0,389.4-393.55 (2026-05-25),none,none,361.23,none,1,2,Premium,88.8,507.45,265.0,False,bullish (HH/HL),bullish (HH/HL),True
