symbol,name,exchange,CMP,move_start_date,vcp_quality,vcp_status,num_contractions,contractions,C1_pct,C2_pct,C3_pct,depths_decreasing,final_contraction_tight,vdu_confirmed,vdu_ratio,pivot,pct_from_pivot,breakout_vol_ratio,breakout_vol_gt40pct,near_52w_high,num_legs,leg_gains_pct,leg3_highest_pivot,leg3_vol_expansion,fib_ratio_L3_L1,fib_extension,cleared_52w_high,time_contraction,third_leg_confirmed,bars_daily,vcp_leg_score_10
MWL,Mangalam Worldwide Limited,NSE,378.8,2025-11-14,Strong VCP,AT PIVOT (actionable),3.0,C1:-9.4%/4b | C2:-5.5%/7b | C3:-2.9%/3b,9.4,5.5,2.9,True,True,True,0.81,385.15,-1.65,1.48,True,True,12.0,L1:+19% | L2:+16% | L3:+12%,False,True,0.74,0.74x,False,True,False,352.0,8.0
PANACEABIO,Panacea Biotec Limited,NSE,540.2,2026-03-30,No VCP,extended past pivot,3.0,C1:-6.8%/2b | C2:-12.3%/3b | C3:-8.6%/7b,6.8,12.3,8.6,False,True,False,6.67,432.0,25.05,21.94,True,True,5.0,L1:+16% | L2:+14% | L3:+16%,False,False,1.17,~1.272x,False,True,False,354.0,6.0
ACMESOLAR,Acme Solar Holdings Limited,NSE,356.65,2026-01-23,No VCP,extended past pivot,3.0,C1:-13.7%/2b | C2:-6.0%/4b | C3:-14.8%/17b,13.7,6.0,14.8,False,True,False,2.6,314.0,13.58,2.68,True,True,6.0,L1:+21% | L2:+7% | L3:+25%,False,True,1.31,~1.272x,False,False,False,354.0,6.0
IFCI,IFCI Limited,NSE,79.6,2025-12-18,No VCP,extended past pivot,3.0,C1:-15.9%/6b | C2:-6.5%/5b | C3:-7.7%/6b,15.9,6.5,7.7,False,True,False,4.3,65.66,21.23,1.99,True,True,9.0,L1:+19% | L2:+8% | L3:+30%,False,True,1.66,~1.618x,False,False,False,354.0,6.0
538668,Meghna Infracon Infrastructure Ltd,BSE,790.85,2025-10-06,Moderate VCP,AT PIVOT (actionable),3.0,C1:-11.7%/8b | C2:-7.2%/8b | C3:-4.9%/4b,11.7,7.2,4.9,True,True,False,1.15,802.0,-1.39,1.68,True,True,13.0,L1:+17% | L2:+4% | L3:+6%,False,False,0.34,0.34x,False,False,False,352.0,6.0
EBGNG,GNG Electronics Limited,NSE,420.55,2026-01-27,No VCP,forming / still basing,3.0,C1:-17.7%/4b | C2:-10.5%/11b | C3:-9.2%/6b,17.7,10.5,9.2,True,True,True,0.81,464.75,-9.51,1.7,True,False,8.0,L1:+48% | L2:+20% | L3:+18%,False,False,0.53,0.53x,False,False,False,210.0,6.0
SAILIFE,Sai Life Sciences Limited,NSE,1186.4,2026-01-23,Strong VCP,BROKEN OUT (fresh),3.0,C1:-6.4%/6b | C2:-5.8%/1b | C3:-4.5%/2b,6.4,5.8,4.5,True,True,True,0.66,1169.9,1.41,1.07,False,True,9.0,L1:+12% | L2:+19% | L3:+9%,False,False,0.88,0.88x,False,False,False,354.0,6.0
MIDHANI,Mishra Dhatu Nigam Limited,NSE,435.55,2026-03-30,Moderate VCP,AT PIVOT (actionable),3.0,C1:-11.7%/2b | C2:-10.7%/3b | C3:-9.6%/1b,11.7,10.7,9.6,True,True,False,1.82,447.85,-2.75,1.19,False,True,5.0,L1:+46% | L2:+18% | L3:+12%,False,True,0.37,0.37x,False,True,False,354.0,6.0
STEELXIND,STEEL EXCHANGE INDIA LIMITED,NSE,12.34,2026-03-23,Moderate VCP,forming / still basing,3.0,C1:-11.8%/2b | C2:-9.5%/3b | C3:-7.6%/2b,11.8,9.5,7.6,True,True,False,1.72,13.39,-7.84,1.74,True,True,5.0,L1:+33% | L2:+28% | L3:+15%,False,False,0.62,0.62x,False,True,False,354.0,6.0
SCI,Shipping Corporation Of India Limited,NSE,302.65,2026-01-23,No VCP,forming / still basing,3.0,C1:-11.1%/3b | C2:-11.8%/5b | C3:-14.6%/5b,11.1,11.8,14.6,False,True,True,0.73,351.7,-13.95,1.91,True,False,6.0,L1:+40% | L2:+7% | L3:+13%,False,False,0.38,0.38x,False,True,False,354.0,6.0
KRISHANA,Krishana Phoschem Limited,NSE,666.7,2025-10-01,Strong VCP,AT PIVOT (actionable),3.0,C1:-7.4%/2b | C2:-6.0%/1b | C3:-5.2%/2b,7.4,6.0,5.2,True,True,True,0.73,692.0,-3.66,0.75,False,True,15.0,L1:+39% | L2:+3% | L3:+7%,False,False,0.22,0.22x,False,True,False,353.0,6.0
GLAND,Gland Pharma Limited,NSE,2273.0,2026-03-19,No VCP,AT PIVOT (actionable),3.0,C1:-7.7%/3b | C2:-6.3%/2b | C3:-7.2%/2b,7.7,6.3,7.2,False,True,False,0.98,2363.5,-3.83,1.2,False,True,4.0,L1:+12% | L2:+10% | L3:+15%,False,True,1.27,~1.272x,False,True,False,353.0,6.0
NARMADA,Narmada Agrobase Limited,NSE,37.72,2025-12-12,Moderate VCP,AT PIVOT (actionable),3.0,C1:-8.5%/3b | C2:-10.0%/2b | C3:-9.2%/1b,8.5,10.0,9.2,False,True,True,0.74,39.61,-4.77,0.97,False,True,9.0,L1:+8% | L2:+48% | L3:+32%,False,True,5.36,5.36x,False,False,False,352.0,6.0
BUILDPRO,Shankara Buildpro Limited,NSE,1134.7,2026-01-27,No VCP,AT PIVOT (actionable),3.0,C1:-13.8%/9b | C2:-12.4%/5b | C3:-5.0%/1b,13.8,12.4,5.0,True,True,True,0.32,1184.0,-4.16,0.33,False,False,8.0,L1:+52% | L2:+27% | L3:+12%,False,False,0.34,0.34x,False,True,False,99.0,6.0
FCL,Fineotex Chemical Limited,NSE,40.73,2026-03-30,No VCP,extended past pivot,3.0,C1:-14.6%/7b | C2:-3.3%/1b | C3:-14.4%/4b,14.6,3.3,14.4,False,True,False,1.2,29.49,38.11,0.69,False,False,3.0,L1:+25% | L2:+30% | L3:+65%,True,True,3.41,3.41x,False,True,True,354.0,6.0
