rank,symbol,name,exchange,price_180d_ago,past_date_used,price_today,return_pct_final,mktcap_cr,cap_bucket,sector,avg_daily_volume,avg_daily_value_rs,penny_flag,xsrc_price,xsrc_mismatch_pct,xsrc_ok,isin_norm,yahoo_ticker,industry
184,SENORES,Senores Pharmaceuticals Limited,NSE,786.1,2025-12-12,1094.5,39.23,5037.11,Mid,Healthcare,323636.0,286996406.0,False,1093.75,0.07,True,INE0RB801010,SENORES.NS,Drug Manufacturers - General
185,VTL,Vardhman Textiles Limited,NSE,446.3,2025-12-12,620.85,39.11,17955.72,Mid,Consumer Cyclical,596350.0,301885394.0,False,620.7,0.02,True,INE825A01020,VTL.NS,Textile Manufacturing
186,543828,Sudarshan Pharma Industries Ltd,BSE,24.12,2025-12-12,34.4,38.99,842.31,Small,n/a,222640.0,5811638.0,False,35.0,1.71,True,INE00TV01023,543828.BO,
187,MCX,Multi Commodity Exchange of India Limited,NSE,2032.4,2025-12-12,2824.8,38.99,72027.55,Large,Financial Services,3316547.0,8245339251.0,False,2824.7,0.0,True,INE745G01043,MCX.NS,Financial Data & Stock Exchanges
188,GANESHBE,Ganesh Benzoplast Limited,NSE,79.23,2025-12-12,110.61,38.77,796.2,Small,Basic Materials,237040.0,22326490.0,False,110.6,0.01,True,INE388A01029,GANESHBE.NS,Specialty Chemicals
189,SHREEJISPG,Shreeji Shipping Global Limited,NSE,332.05,2025-12-12,461.9,38.75,7541.49,Mid,Industrials,1151787.0,417291854.0,False,462.9,0.22,True,INE1B6101010,SHREEJISPG.NS,Marine Shipping
190,DECNGOLD,Deccan Gold Mines Limited,NSE,120.2,2026-04-20,166.75,38.73,3317.33,Small,n/a,1808022.0,275139716.0,False,166.95,0.12,True,INE945F01025,DECNGOLD.NS,
191,NATIONALUM,National Aluminium Company Limited,NSE,278.15,2025-12-12,383.9,38.67,70526.66,Large,Basic Materials,14093920.0,4979097564.0,False,384.0,0.03,True,INE139A01034,NATIONALUM.NS,Aluminum
192,SUNFLAG,Sunflag Iron And Steel Company Limited,NSE,251.85,2025-12-12,357.1,38.57,6433.83,Mid,Basic Materials,431598.0,145213033.0,False,357.0,0.03,True,INE947A01014,SUNFLAG.NS,Steel
193,BANDHANBNK,Bandhan Bank Limited,NSE,149.57,2025-12-12,206.94,38.43,33380.29,Large,Financial Services,10626912.0,1811500158.0,False,207.2,0.13,True,INE545U01014,BANDHANBNK.NS,Banks - Regional
194,544141,Pune E - Stock Broking Ltd,BSE,205.65,2025-12-12,283.9,38.42,441.02,Micro,n/a,26065.0,6027014.0,False,280.0,1.39,True,INE510U01018,544141.BO,
195,539730,Fredun Pharmaceuticals Ltd,BSE,1581.35,2025-12-12,2297.8,38.39,1264.88,Small,n/a,12193.0,22681445.0,False,2311.25,0.58,True,INE194R01017,539730.BO,
196,NETWEB,Netweb Technologies India Limited,NSE,3200.8,2025-12-12,4428.2,38.35,25212.2,Large,Technology,1772253.0,6505479351.0,False,4427.8,0.01,True,INE0NT901020,NETWEB.NS,Computer Hardware
197,DBOL,Dhampur Bio Organics Limited,NSE,79.88,2025-12-12,109.72,38.13,736.57,Small,Consumer Defensive,181413.0,18667897.0,False,110.95,1.11,True,INE0I3401014,DBOL.NS,Farm Products
198,LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,NSE,52.09,2025-12-12,71.78,37.8,10530.38,Mid,Industrials,5752057.0,327592768.0,False,72.07,0.4,True,INE093R01011,LLOYDSENGG.NS,Specialty Industrial Machinery
199,SAIPARENT,Sai Parenterals Limited,NSE,405.7,2026-04-02,560.05,37.72,2478.01,Small,Healthcare,320387.0,153061494.0,False,560.9,0.15,True,INE0H9F01037,SAIPARENT.NS,Drug Manufacturers - General
200,544191,Purple Finance Ltd,BSE,47.34,2025-12-12,65.19,37.71,393.79,Micro,n/a,85681.0,4869800.0,False,66.83,2.45,True,INE0CYK01015,544191.BO,
201,STEELCAS,Steelcast Limited,NSE,211.66,2025-12-12,288.6,37.47,2915.57,Small,Basic Materials,86732.0,20521516.0,False,288.1,0.17,True,INE124E01038,STEELCAS.NS,Steel
202,538668,Meghna Infracon Infrastructure Ltd,BSE,589.55,2025-12-12,783.9,37.23,1684.03,Small,n/a,54898.0,35796148.0,False,775.2,1.12,True,INE898Q01015,538668.BO,
203,SAILIFE,Sai Life Sciences Limited,NSE,899.4,2025-12-12,1229.7,36.72,26076.38,Large,Healthcare,555696.0,546675107.0,False,1229.35,0.03,True,INE570L01029,SAILIFE.NS,Diagnostics & Research
204,CGPOWER,CG Power and Industrial Solutions Limited,NSE,665.9,2025-12-12,911.2,36.71,143447.11,Large,Industrials,3438089.0,2481665093.0,False,910.8,0.04,True,INE067A01029,CGPOWER.NS,Electrical Equipment & Parts
205,VETO,Veto Switchgears And Cables Limited,NSE,108.62,2025-12-12,148.45,36.67,284.53,Micro,Industrials,59165.0,7115694.0,False,148.85,0.27,True,INE918N01018,VETO.NS,Electrical Equipment & Parts
206,UNIVCABLES,Universal Cables Limited,NSE,895.25,2025-12-12,1223.4,36.46,4249.32,Small,Industrials,191112.0,183265153.0,False,1224.75,0.11,True,INE279A01012,UNIVCABLES.NS,Electrical Equipment & Parts
207,GAEL,Gujarat Ambuja Exports Limited,NSE,117.52,2025-12-12,160.27,36.4,7336.44,Mid,Consumer Defensive,983424.0,134990139.0,False,159.95,0.2,True,INE036B01030,GAEL.NS,Packaged Foods
208,GLAND,Gland Pharma Limited,NSE,1678.6,2025-12-12,2288.5,36.33,37694.62,Large,Healthcare,246906.0,490140135.0,False,2287.9,0.03,True,INE068V01023,GLAND.NS,Drug Manufacturers - Specialty & Generic
209,NLCINDIA,NLC India Limited,NSE,243.9,2025-12-12,327.75,36.31,45460.88,Large,Utilities,3532314.0,1084227216.0,False,327.85,0.03,True,INE589A01014,NLCINDIA.NS,Utilities - Regulated Electric
