symbol,close,bars,prior_uptrend,pct_above_52w_low,above_ema200,num_contractions,contractions,depths_decreasing,dur_decreasing,vdu_confirmed,vdu_ratio,near_52w_high,pivot,pct_from_pivot,breakout_vol_ratio,breakout_close_pos,vcp_status,vcp_quality,entry_zone,gann_days_since_low,gann_low_price,gann_low_date,gann_gann_unit_per_bar,gann_g1x1,gann_g2x1,gann_g1x2,gann_above_1x1,gann_above_2x1,gann_gann_trend,sq9_T1_+0.25,sq9_T2_+0.5,sq9_T3_+1.0,sq9_S1_-0.25,sq9_S2_-0.5,next_gann_cycle_days,days_to_next_cycle,near_gann_cycle,octave,octave_n,octave_levels,nearest_cardinal_sq,cardinal_dist_pct,near_cardinal,cardinal_below,cardinal_above
YASHO,3010.7,350,True,166.4,True,3,C1:-10.7%/3b | C2:-8.0%/4b | C3:-11.2%/4b,False,False,True,0.32,True,3120.0,-3.5,0.25,0.6,AT PIVOT (actionable),Moderate VCP,3120.0-3276.0,127,1130.0,2026-01-09,8.136,2163.29,3196.57,1646.64,True,False,strong (>1x1),3038.2,3065.82,3121.44,2983.33,2956.08,144,17,False,8/8 (52w high),8,4/8=2155.15 6/8=2667.73 7/8=2924.01,3025,0.47,True,2916,3025
VENUSREM,1770.0,350,True,317.5,True,3,C1:-10.8%/5b | C2:-11.7%/5b | C3:-16.0%/7b,False,False,True,0.5,False,1895.6,-6.63,0.33,0.56,forming / still basing,No VCP,n/a,175,432.1,2025-10-31,6.43,1557.31,2682.52,994.7,True,False,strong (>1x1),1791.1,1812.32,1855.14,1749.03,1728.18,180,5,True,7/8 (exhaustion),7,4/8=1234.15 6/8=1639.23 7/8=1841.76,1764,0.34,True,1764,1849
NOVARTIND,1570.1,67,False,133.6,False,3,C1:-17.4%/3b | C2:-6.4%/6b | C3:-3.0%/3b,True,False,False,2.83,False,1690.0,-7.09,0.6,0.59,forming / still basing,No VCP,n/a,66,672.25,2026-04-15,4.17,947.45,1222.64,809.85,True,True,very strong (>2x1),1589.97,1609.97,1650.35,1550.35,1530.73,90,24,False,7/8 (exhaustion),7,4/8=1197.62 6/8=1460.31 7/8=1591.66,1600,1.9,True,1521,1600
IBULLSLTD,28.99,352,True,225.7,True,3,C1:-26.2%/11b | C2:-9.4%/3b | C3:-9.0%/2b,True,True,False,1.2,False,30.76,-5.75,0.53,0.26,forming / still basing,No VCP,n/a,90,8.9,2026-03-09,0.094,17.33,25.76,13.11,True,True,very strong (>2x1),31.74,34.62,40.76,26.36,23.86,120,30,True,7/8 (exhaustion),7,4/8=20.7 6/8=26.6 7/8=29.55,25,13.76,False,25,36
JNKINDIA,477.15,351,True,137.5,True,3,C1:-6.4%/1b | C2:-6.3%/2b | C3:-10.6%/2b,False,False,True,0.55,False,515.0,-7.35,0.42,0.28,forming / still basing,No VCP,n/a,117,200.92,2026-01-28,1.417,366.71,532.49,283.81,True,False,strong (>1x1),488.13,499.24,521.84,466.29,455.56,120,3,True,7/8 (exhaustion),7,4/8=379.46 6/8=468.73 7/8=513.36,484,1.44,True,441,484
KOVAI,5986.0,68,False,132.3,False,3,C1:-6.9%/4b | C2:-4.0%/5b | C3:-2.8%/1b,True,False,True,0.76,True,6015.5,-0.49,0.64,0.82,AT PIVOT (actionable),No VCP,n/a,67,2576.65,2026-04-13,14.934,3577.22,4577.8,3076.94,True,True,very strong (>2x1),6024.75,6063.62,6141.74,5947.38,5908.88,90,23,False,8/8 (52w high),8,4/8=4458.32 6/8=5399.16 7/8=5869.58,5929,0.95,True,5929,6084
CONFIPET,73.12,352,True,160.6,True,3,C1:-15.4%/8b | C2:-7.3%/3b | C3:-15.1%/4b,False,False,True,0.48,False,77.2,-5.28,0.62,0.38,forming / still basing,No VCP,n/a,90,28.06,2026-03-09,0.208,46.81,65.57,37.44,True,True,very strong (>2x1),77.46,81.92,91.22,68.91,64.82,120,30,True,7/8 (exhaustion),7,4/8=54.31 6/8=67.44 7/8=74.01,81,10.78,False,64,81
SUVEN,325.9,352,True,162.6,True,3,C1:-9.6%/4b | C2:-20.8%/6b | C3:-8.3%/7b,False,False,True,0.42,False,371.0,-12.16,0.47,0.21,forming / still basing,No VCP,n/a,79,124.11,2026-03-24,0.98,201.51,278.91,162.81,True,True,very strong (>2x1),334.99,344.2,363.01,316.94,308.1,90,11,False,7/8 (exhaustion),7,4/8=247.56 6/8=309.28 7/8=340.14,324,0.58,True,324,361
UNIVPHOTO,436.3,351,True,141.6,True,3,C1:-18.6%/11b | C2:-6.5%/5b | C3:-3.5%/3b,True,True,False,3.43,False,369.9,17.95,5.94,0.9,extended past pivot,No VCP,n/a,121,180.6,2026-01-21,1.33,341.55,502.5,261.07,True,False,strong (>1x1),446.81,457.44,479.08,425.92,415.66,144,23,True,7/8 (exhaustion),7,4/8=348.2 6/8=432.0 7/8=473.9,441,1.08,True,400,441
SHILPAMED,620.25,352,True,139.0,True,3,C1:-9.5%/4b | C2:-6.2%/6b | C3:-3.6%/3b,True,False,True,0.46,True,610.0,1.68,0.38,0.15,BROKEN OUT (fresh),Strong VCP,610.0-640.5,118,259.5,2026-01-27,1.55,442.35,625.21,350.93,True,False,strong (>1x1),632.76,645.4,671.06,607.86,595.6,120,2,True,8/8 (52w high),8,4/8=454.75 6/8=552.38 7/8=601.19,625,0.77,True,576,625
