symbol,name,exchange,yahoo_ticker,close,rsi,adx,macd_hist,vol_spike,dist_52wh_pct,adv_value_cr,atr_pct,prime_score,not_extended,checks
GLOBUSSPR,Globus Spirits Limited,NSE,GLOBUSSPR.NS,923.2,61.1,19.1,9.17,1.46,-29.16,9.78,2.83,6,True,111011001
GOLDIAM,Goldiam International Limited,NSE,GOLDIAM.NS,451.5,52.8,29.8,-5.149,1.76,-11.03,39.0,4.4,6,True,001110111
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,NSE,GLAXO.NS,2415.0,61.8,30.3,27.879,1.85,-28.32,27.18,2.61,6,True,110111001
GLENMARK,Glenmark Pharmaceuticals Limited,NSE,GLENMARK.NS,2201.4,50.1,20.5,7.388,2.03,-11.02,158.61,2.65,6,True,011101011
GMBREW,GM Breweries Limited,NSE,GMBREW.NS,976.4,66.9,22.3,8.822,1.88,-26.52,4.07,2.75,8,True,111111011
GRINDWELL,Grindwell Norton Limited,NSE,GRINDWELL.NS,2161.1,66.2,46.5,-1.909,0.85,-5.81,20.0,3.34,6,False,100011111
GRINFRA,G R Infraprojects Limited,NSE,GRINFRA.NS,923.7,53.0,21.5,3.227,0.22,-31.32,8.2,3.37,6,True,011011101
GREENPLY,Greenply Industries Limited,NSE,GREENPLY.NS,307.7,68.7,38.6,-0.108,0.56,-12.57,42.06,3.38,6,True,100011111
GROWW,Billionbrains Garage Ventures Limited,NSE,GROWW.NS,206.54,61.5,22.7,0.756,1.14,-9.09,861.02,2.91,7,False,111011101
GPTINFRA,GPT Infraprojects Limited,NSE,GPTINFRA.NS,130.13,61.5,31.5,1.044,0.72,-13.25,5.13,4.26,7,True,110011111
GRANULES,Granules India Limited,NSE,GRANULES.NS,822.2,66.6,28.5,3.496,1.92,-0.82,103.29,3.01,8,False,111111110
GREAVESCOT,Greaves Cotton Limited,NSE,GREAVESCOT.NS,227.36,74.4,39.1,1.917,2.88,-6.93,33.9,3.61,8,False,110111111
GREENLAM,Greenlam Industries Limited,NSE,GREENLAM.NS,254.0,57.3,32.4,-0.389,0.88,-8.84,8.47,3.68,6,True,100011111
539730,Fredun Pharmaceuticals Ltd,BSE,539730.BO,2805.45,70.5,17.3,30.636,0.96,-2.96,3.38,4.97,6,False,110011110
590103,Nippon India ETF Nifty 50 BeES,BSE,590103.BO,272.86,57.4,15.4,0.381,1.98,-8.67,8.98,2.3,6,True,110110101
590106,Nippon India ETF Nifty Bank BeES,BSE,590106.BO,601.45,66.5,21.1,1.008,0.99,-5.73,2.65,1.61,8,True,111011111
543920,CFF Fluid Control Ltd,BSE,543920.BO,872.3,66.9,26.8,11.25,3.21,-2.97,2.89,3.92,8,False,111111110
543787,Macfos Ltd,BSE,543787.BO,1188.5,57.3,18.0,-2.27,2.08,-9.62,2.01,6.21,6,False,100101111
544037,Amic Forging Ltd,BSE,544037.BO,1788.8,60.4,19.4,8.536,1.87,-6.1,18.37,4.02,9,True,111111111
506854,TANFAC Industries Ltd-$,BSE,506854.BO,2469.75,71.9,29.3,45.015,3.85,-4.46,3.23,4.53,9,True,111111111
524520,KMC Speciality Hospitals (India) Ltd,BSE,524520.BO,140.65,79.9,37.0,1.635,7.04,-1.54,2.58,4.27,6,False,010111110
526433,ASM Technologies Ltd,BSE,526433.BO,4103.75,72.5,38.4,28.984,1.17,-10.7,9.81,4.44,7,False,110011111
526570,Midwest Gold Ltd,BSE,526570.BO,4444.75,57.5,26.1,81.813,2.02,-24.67,2.16,6.13,8,True,111111011
