Stock,VCP Contractions,Pivot Price,3rd Leg confirmed (Y/N),Fib Extension Level,VCP+Leg Score (1-10)
JNKINDIA,C1:-6.3%/3b | C2:-12.8%/4b | C3:-13.4%/7b,410.45,N,0.30x,5.0
PARACABLES,C1:-12.3%/5b | C2:-13.3%/5b | C3:-15.9%/3b,70.95,N,~1.272x,5.0
CEIGALL,C1:-7.7%/4b | C2:-18.3%/8b | C3:-10.1%/4b,376.0,N,0.69x,5.0
SATIN,C1:-7.2%/5b | C2:-12.4%/7b | C3:-4.4%/3b,224.98,N,1.02x,5.0
WELCORP,C1:-8.1%/3b | C2:-4.6%/3b | C3:-7.8%/1b,1357.7,N,0.80x,5.0
SGMART,C1:-7.9%/3b | C2:-10.7%/3b | C3:-5.8%/5b,626.0,N,0.14x,5.0
APOLLO,C1:-8.0%/4b | C2:-14.0%/5b | C3:-8.1%/3b,442.0,N,1.08x,5.0
CUPID,C1:-21.0%/3b | C2:-3.6%/3b | C3:-13.0%/2b,133.92,N,1.04x,5.0
543787,C1:-4.5%/8b | C2:-17.0%/3b | C3:-3.7%/2b,1168.0,N,0.25x,5.0
NITINSPIN,C1:-8.1%/2b | C2:-11.9%/3b | C3:-7.5%/6b,519.9,N,0.25x,5.0
SANSERA,C1:-7.9%/5b | C2:-11.0%/6b | C3:-6.6%/3b,2975.0,N,2.92x,5.0
GAYAPROJ,C1:-17.8%/5b | C2:-16.7%/11b,19.75,Y,0.52x,5.0
ONELIFECAP,C1:-5.7%/2b | C2:-12.9%/3b | C3:-9.7%/3b,29.04,N,0.20x,5.0
WHEELS,C1:-6.8%/3b | C2:-15.1%/5b | C3:-6.6%/2b,1744.0,N,0.17x,5.0
SASKEN,C1:-4.1%/2b | C2:-10.0%/5b | C3:-13.7%/3b,2358.7,N,0.79x,5.0
PARKHOSPS,C1:-4.5%/3b | C2:-10.6%/5b | C3:-7.0%/1b,293.8,N,~1.272x,5.0
THANGAMAYL,C1:-13.0%/5b | C2:-19.3%/6b | C3:-2.6%/3b,3889.4,N,0.11x,5.0
KERNEX,C1:-23.8%/17b | C2:-3.7%/3b | C3:-16.7%/2b,1626.0,Y,~1.618x,5.0
BIRLACABLE,C1:-24.0%/7b | C2:-7.1%/2b | C3:-21.2%/7b,190.43,N,1.45x,5.0
AVALON,C1:-13.5%/4b | C2:-15.0%/1b | C3:-5.7%/1b,1528.4,N,0.27x,5.0
BBOX,C1:-11.8%/7b | C2:-7.3%/1b | C3:-4.5%/1b,655.85,N,n/a,5.0
SALSTEEL,C1:-7.9%/2b | C2:-5.1%/1b | C3:-14.9%/5b,63.0,N,0.60x,5.0
ANTELOPUS,C1:-16.4%/5b | C2:-11.9%/4b | C3:-13.0%/4b,788.9,N,0.75x,5.0
ATLANTAELE,C1:-10.3%/2b | C2:-17.8%/4b | C3:-17.4%/3b,1901.8,N,1.01x,5.0
MAYURUNIQ,C1:-9.0%/2b | C2:-7.5%/7b | C3:-6.9%/2b,805.75,N,0.23x,5.0
ROSSTECH,C1:-23.6%/3b | C2:-10.6%/2b | C3:-9.1%/3b,1088.0,N,0.21x,5.0
ARVIND,C1:-3.6%/4b | C2:-6.0%/5b | C3:-7.0%/3b,500.95,N,~1.618x,5.0
NATIONALUM,C1:-11.2%/2b | C2:-6.4%/4b | C3:-7.0%/3b,420.7,N,~1.272x,5.0
MCLEODRUSS,C1:-9.8%/3b | C2:-8.5%/2b | C3:-10.1%/3b,78.41,N,0.27x,5.0
BAJAJCON,C1:-10.0%/5b | C2:-10.4%/2b | C3:-5.7%/5b,572.9,N,0.34x,5.0
SOTL,C1:-5.1%/3b | C2:-12.9%/5b | C3:-4.8%/3b,436.45,N,0.48x,5.0
IDEAFORGE,C1:-13.5%/2b | C2:-14.3%/5b | C3:-6.2%/4b,855.4,N,0.28x,5.0
BLISSGVS,C1:-12.2%/3b | C2:-4.4%/4b | C3:-4.9%/4b,293.0,N,0.45x,5.0
HIRECT,C1:-9.9%/4b | C2:-6.6%/3b | C3:-9.9%/3b,1191.0,N,0.78x,5.0
SPARC,C1:-7.3%/3b | C2:-13.4%/6b | C3:-21.4%/4b,248.75,N,0.89x,5.0
PAISALO,C1:-10.1%/1b | C2:-6.0%/3b | C3:-5.0%/2b,51.3,N,~1.272x,5.0
KIRLPNU,C1:-3.4%/3b | C2:-9.6%/4b | C3:-9.0%/4b,1697.0,N,~1.618x,5.0
532380,C1:-10.2%/6b | C2:-17.5%/7b | C3:-9.0%/2b,14.02,Y,2.24x,5.0
JAYBARMARU,C1:-10.9%/9b | C2:-12.6%/6b | C3:-10.3%/4b,124.1,N,1.45x,5.0
UFBL,C1:-19.3%/5b | C2:-8.8%/5b | C3:-13.4%/2b,507.45,N,1.45x,5.0
524520,C1:-7.2%/4b | C2:-5.9%/2b | C3:-6.6%/9b,123.0,N,~1.272x,5.0
GKSL,C1:-3.9%/1b | C2:-7.1%/4b | C3:-5.1%/2b,146.49,N,0.56x,4.0
WSTCSTPAPR,C1:-7.8%/4b | C2:-15.8%/8b | C3:-6.8%/2b,529.4,N,0.72x,4.0
GRAPHITE,C1:-6.7%/4b | C2:-6.9%/2b | C3:-9.3%/3b,766.9,N,2.01x,4.0
TCIFINANCE,C1:-13.1%/3b | C2:-10.9%/4b | C3:-13.4%/14b,14.85,N,2.16x,4.0
RISHABH,C1:-8.9%/6b | C2:-16.6%/6b | C3:-13.1%/3b,560.0,N,0.32x,4.0
MCL,C1:-2.3%/3b | C2:-8.4%/6b | C3:-7.4%/2b,64.42,N,5.78x,4.0
QUADFUTURE,C1:-6.7%/5b | C2:-17.7%/10b | C3:-11.9%/3b,326.95,N,0.29x,4.0
AEROFLEX,C1:-5.4%/3b | C2:-23.9%/4b | C3:-8.3%/5b,417.45,N,0.58x,4.0
MODISONLTD,C1:-4.1%/2b | C2:-6.1%/5b | C3:-10.3%/3b,174.0,N,0.32x,4.0
OMAXAUTO,C1:-11.6%/7b | C2:-6.5%/5b | C3:-16.9%/8b,258.24,N,0.54x,4.0
GROWW,C1:-4.2%/1b | C2:-19.5%/5b | C3:-4.0%/4b,191.95,N,0.37x,4.0
VIDYAWIRES,C1:-8.2%/6b | C2:-10.4%/3b | C3:-15.0%/4b,114.08,N,3.30x,4.0
GVPIL,C1:-15.9%/7b | C2:-6.0%/3b | C3:-15.1%/3b,740.05,N,0.49x,4.0
AEROENTER,C1:-8.1%/1b | C2:-3.2%/3b | C3:-18.6%/17b,114.8,Y,0.82x,4.0
HFCL,C1:-13.0%/9b | C2:-11.8%/3b | C3:-12.8%/4b,154.7,N,0.84x,4.0
BHAGYANGR,C1:-18.8%/4b | C2:-11.3%/3b | C3:-21.5%/7b,336.6,N,3.88x,4.0
CONFIPET,C1:-10.8%/2b | C2:-5.5%/1b | C3:-13.6%/3b,66.0,N,1.06x,4.0
KSHINTL,C1:-10.5%/2b | C2:-17.1%/6b | C3:-10.4%/3b,835.0,N,0.86x,4.0
SUPRIYA,C1:-4.6%/5b | C2:-5.0%/5b | C3:-8.3%/1b,1085.0,N,0.53x,4.0
SPORTKING,C1:-11.0%/3b | C2:-8.0%/3b | C3:-7.6%/4b,192.9,N,0.27x,4.0
SCPL,C1:-2.0%/1b | C2:-8.5%/3b | C3:-15.3%/4b,467.8,N,0.19x,4.0
NGLFINE,C1:-10.7%/3b | C2:-21.1%/4b | C3:-12.3%/2b,3005.0,N,0.98x,4.0
UNIPARTS,C1:-7.0%/4b | C2:-10.2%/5b | C3:-5.6%/3b,623.05,N,0.47x,4.0
SANDHAR,C1:-4.2%/3b | C2:-7.9%/1b | C3:-7.3%/2b,720.0,N,0.61x,4.0
CRAFTSMAN,C1:-5.8%/6b | C2:-3.9%/1b | C3:-15.4%/6b,9259.0,N,1.08x,4.0
511523,C1:-5.2%/1b | C2:-3.7%/3b | C3:-12.6%/3b,24.94,N,0.54x,4.0
POWERINDIA,C1:-7.2%/2b | C2:-9.5%/4b | C3:-9.9%/2b,38645.0,N,0.19x,4.0
RUBICON,C1:-9.3%/2b | C2:-9.1%/4b | C3:-6.4%/5b,1370.0,N,0.93x,4.0
HCC,C1:-10.8%/3b | C2:-17.4%/10b | C3:-6.9%/3b,23.7,N,0.22x,4.0
