symbol,day0_date,day0_idx_from_end,day0_open,day0_close,day0_volume,day0_verified_volspike,day0_vol_x_50davg,rsi,stoch_k,stoch_d,bb_width,pctB,cci,williams_r,mfi,obv_dir,macd,macd_signal,macd_hist,macd_vs_zero,ema20,ema20_slope,ema50,ema50_slope,ema_alignment,adx,atr,atr_pct,supertrend,supertrend_flip,day0_candle,pct_from_52wh,pct_vs_ema200,bb_position,bos_triggered,vcp_pivot_broken,demand_zone_reclaimed,order_block_broken,pre_vol_pattern,pre_rsi_trend,pre_range_pct,pre_tight_range,pre_volume_dryup,pre_shakeout,bars_available
HINDALCO,2025-09-03,189,725.0,742.95,8986550,True,1.84,69.1,96.3,88.1,10.24,109.1,172.6,-1.4,66.9,already_rising,10.931,7.865,3.067,above,705.21,up,689.59,up,n/a(short),20.8,14.55,1.96,green,none_recent,Three White Soldiers,-0.14,,upper,Y,Y,Y,Y,declining,turning_up,3.92,Y,N,N,354
ASTERDM,2026-02-11,79,578.15,600.4,2781341,False,4.09,58.7,83.4,69.8,15.52,88.5,63.3,-12.3,74.9,already_rising,-8.465,-14.67,6.205,below,571.55,up,594.28,down/flat,bearish,29.4,22.8,3.8,green,just_flipped_green,Outside Bar;Three White Soldiers,-18.0,0.27,above_mid,Y,N,N,Y,declining,turning_up,10.05,N,N,Y,354
500449,2026-04-20,34,30.0,33.35,560022,True,7.94,70.1,90.8,91.9,32.21,118.3,177.7,-13.0,77.2,already_rising,0.525,-0.245,0.771,above,28.3,up,28.71,up,bearish,17.4,1.94,5.81,green,just_flipped_green,Bullish Engulfing;Outside Bar,-18.64,4.97,upper,Y,N,Y,Y,rising,turning_up,11.66,N,N,N,350
SANGHVIMOV,2026-04-02,46,266.19,286.67,677751,True,2.33,60.5,67.9,58.4,22.0,124.4,117.8,-7.5,55.9,already_rising,-2.162,-7.972,5.81,below,254.4,up,270.54,down/flat,bearish,23.1,18.49,6.45,green,just_flipped_green,none,-30.4,-5.01,upper,Y,N,Y,Y,rising,rising_slowly,14.46,N,N,N,354
GANDHAR,2026-04-02,46,123.2,126.52,132052,False,0.41,43.7,39.9,26.9,12.17,35.9,-33.5,-37.9,40.2,already_rising,-4.587,-4.632,0.045,below,129.62,down/flat,136.47,down/flat,bearish,20.6,6.09,4.81,red,none_recent,none,-31.4,-14.31,midband,N,N,N,Y,rising,flat/down,14.46,N,Y,Y,354
ATGL,2026-03-11,60,479.0,566.9,18960811,True,17.59,64.7,39.9,19.4,19.55,103.4,79.3,-0.0,87.2,already_rising,-10.588,-12.871,2.283,below,511.53,down/flat,533.18,down/flat,bearish,30.4,19.51,3.44,green,just_flipped_green,Bullish Marubozu;Morning Star,-28.96,-3.71,upper,Y,Y,N,Y,rising,flat/down,5.15,Y,Y,Y,354
TALBROAUTO,2026-04-27,31,277.0,295.37,378470,True,3.19,72.7,88.5,87.3,27.2,96.8,111.2,-6.6,84.8,already_rising,9.803,6.423,3.38,above,267.62,up,261.73,up,crossing/mixed,41.0,12.19,4.13,green,none_recent,Bullish Engulfing,-9.4,9.05,upper,Y,Y,Y,Y,declining,flat/down,4.74,Y,Y,N,354
539479,2026-02-09,79,60.0,60.65,170383,True,3.33,62.3,91.6,79.4,26.09,109.9,171.4,-1.7,75.4,already_rising,0.183,-1.05,1.233,above,53.75,up,56.2,down/flat,bearish,21.9,4.38,7.23,green,just_flipped_green,Hanging Man;Bullish Pin Bar,-36.97,-0.13,upper,Y,N,Y,Y,rising,turning_up,16.16,N,N,N,351
530145,2026-04-20,34,29.87,33.59,1043956,True,4.29,71.5,79.4,71.4,48.4,111.1,157.9,-7.3,79.1,already_rising,1.325,0.533,0.792,above,27.33,up,26.7,up,crossing/mixed,30.0,2.4,7.13,green,none_recent,none,-35.9,7.1,upper,Y,N,Y,Y,rising,flat/down,12.15,N,N,N,350
543619,2025-08-18,197,1168.75,1252.53,33200,True,5.2,70.8,91.1,75.4,18.17,126.0,220.9,-4.9,59.1,already_rising,17.294,4.46,12.834,above,1104.71,up,1064.93,up,n/a(short),20.8,50.27,4.01,green,just_flipped_green,Three White Soldiers,-1.03,,upper,Y,Y,N,Y,rising,turning_up,12.42,N,N,Y,351
HAPPYFORGE,2025-10-21,156,999.0,1014.2,122726,True,3.57,68.6,92.9,79.8,11.29,113.0,174.1,-11.8,82.9,already_rising,8.003,1.317,6.686,above,947.72,up,941.22,up,n/a(short),18.7,28.43,2.8,green,just_flipped_green,Three White Soldiers,-5.13,,upper,Y,Y,N,Y,rising,turning_up,9.1,Y,N,Y,354
CALSOFT,2026-05-07,23,22.69,22.91,660719,True,4.26,91.3,100.0,100.0,94.55,119.0,340.0,-0.0,97.5,already_rising,1.901,0.746,1.154,above,15.07,up,13.9,up,crossing/mixed,38.0,1.13,4.94,green,none_recent,Hanging Man;Bullish Pin Bar,0.0,61.11,upper,Y,N,Y,N,rising,turning_up,28.28,N,N,N,353
INNOVACAP,2026-04-15,38,698.0,734.65,80868,True,2.41,62.5,62.6,50.1,9.36,111.1,164.2,-19.3,46.7,turning_up,3.861,1.444,2.417,above,694.41,up,694.64,up,bearish,11.2,29.72,4.05,green,just_flipped_green,none,-28.02,-4.74,upper,Y,Y,Y,Y,declining,turning_up,4.29,Y,N,N,353
PFC,2026-01-28,89,362.45,383.05,12905737,True,2.14,61.9,52.4,39.0,8.33,98.1,45.6,-3.4,50.5,turning_up,2.375,2.22,0.155,above,365.57,down/flat,366.33,down/flat,bearish,21.3,9.78,2.55,green,none_recent,Bullish Marubozu,-13.75,-1.64,upper,Y,Y,N,Y,rising,rising_slowly,5.2,Y,N,N,354
AMBIKCO,2026-01-22,91,1134.9,1238.6,12932,False,2.2,53.3,26.0,14.8,12.59,63.7,45.1,-44.7,27.5,flat/down,-23.78,-21.896,-1.884,below,1210.26,down/flat,1254.17,down/flat,bearish,32.9,46.45,3.75,red,none_recent,Morning Star,-27.14,-10.45,midband,N,N,N,Y,rising,flat/down,11.21,N,N,Y,353
WABAG,2026-02-09,81,1221.0,1294.5,633102,True,1.83,65.8,89.2,87.1,22.45,107.7,93.9,-2.1,66.3,already_rising,-8.626,-34.148,25.522,below,1172.46,up,1228.27,down/flat,bearish,25.5,49.95,3.86,green,just_flipped_green,Morning Star,-22.95,-5.78,upper,Y,N,Y,Y,rising,turning_up,16.01,N,N,Y,354
EQUITASBNK,2025-10-24,154,58.22,59.73,4202432,True,1.41,66.7,82.3,76.0,8.31,107.7,101.1,-12.6,57.0,already_rising,0.637,0.356,0.281,above,56.99,up,56.92,up,crossing/mixed,21.0,1.51,2.53,green,none_recent,Bullish Engulfing;Outside Bar,-20.89,-2.06,upper,Y,Y,N,Y,rising,turning_up,7.77,Y,Y,Y,354
AVANTIFEED,2025-11-19,136,768.9,841.65,13209628,True,12.37,79.1,84.8,85.4,18.79,133.4,175.5,-9.0,93.1,already_rising,25.995,15.822,10.173,above,732.5,up,708.92,up,crossing/mixed,29.5,27.93,3.32,green,none_recent,none,-12.71,17.75,upper,Y,Y,Y,Y,rising,turning_up,6.79,Y,Y,N,353
TRITURBINE,2026-04-17,37,480.0,515.45,6236306,True,8.66,69.4,78.4,70.6,14.18,133.3,241.1,-16.8,85.8,already_rising,2.576,-3.822,6.398,above,467.94,up,475.91,up,bearish,17.3,20.41,3.96,green,just_flipped_green,none,-23.66,-1.47,upper,Y,Y,Y,Y,rising,turning_up,8.22,Y,N,N,354
540545,2025-10-23,152,21.78,23.0,226830,True,2.06,70.5,98.5,95.6,16.95,106.8,263.8,-3.9,51.4,already_rising,0.497,0.244,0.254,above,21.29,up,20.41,up,n/a(short),14.1,1.22,5.32,green,none_recent,Outside Bar,-0.65,,upper,Y,N,Y,N,rising,turning_up,14.13,N,Y,N,350
PANAMAPET,2026-05-06,24,282.65,293.85,144646,True,3.31,64.1,79.4,82.0,9.47,122.1,135.5,-19.0,79.1,already_rising,4.098,2.114,1.983,above,275.81,up,275.07,up,crossing/mixed,17.2,11.36,3.87,green,none_recent,none,-27.25,-0.55,upper,Y,Y,Y,Y,rising,turning_up,7.49,Y,N,N,353
THYROCARE,2026-05-04,26,400.65,420.4,718270,True,2.26,65.7,54.6,55.6,9.69,112.1,89.3,-33.5,69.7,turning_up,7.215,5.238,1.977,above,396.38,up,395.15,up,crossing/mixed,27.0,14.73,3.5,green,none_recent,Outside Bar;Morning Star,-21.66,4.97,upper,Y,Y,Y,Y,declining,flat/down,5.47,Y,Y,N,354
AEQUS,2026-04-10,41,125.88,143.97,9175827,True,7.28,68.6,68.4,64.1,18.39,141.6,126.0,-18.8,75.1,already_rising,-0.782,-2.999,2.217,below,126.97,up,131.37,down/flat,n/a(short),21.5,6.56,4.55,green,just_flipped_green,Morning Star,-12.96,,upper,Y,Y,Y,Y,declining,turning_up,6.98,Y,N,N,123
RML,2026-04-06,45,670.0,687.35,12534,False,0.52,40.8,31.6,21.6,34.87,30.4,-68.7,-60.3,22.8,turning_up,-37.215,-31.091,-6.125,below,721.11,down/flat,759.13,down/flat,bearish,34.2,33.78,4.91,red,none_recent,Three White Soldiers,-34.48,-13.39,lower,N,N,N,Y,declining,turning_up,15.98,N,N,N,354
MMFL,2026-01-02,106,359.4,394.45,1047628,True,4.06,73.1,53.1,37.0,10.56,131.1,77.1,-12.9,86.3,already_rising,10.064,10.281,-0.217,above,360.13,up,343.8,up,crossing/mixed,42.3,14.56,3.69,green,none_recent,Bullish Engulfing,-16.43,13.52,upper,Y,Y,N,Y,declining,turning_up,6.03,Y,Y,N,354
SERVOTECH,2026-02-03,85,77.8,84.19,8113392,True,8.04,68.0,58.1,31.9,42.6,102.6,113.4,-12.2,81.0,already_rising,-2.931,-4.916,1.986,below,69.52,down/flat,78.98,down/flat,bearish,39.0,5.03,5.98,green,just_flipped_green,none,-50.04,-22.93,upper,Y,N,N,Y,rising,turning_up,26.48,N,N,N,354
DCMSIL,2026-02-19,72,57.56,57.56,12336,False,,100.0,,,,,,,,already_rising,,,,below,,down/flat,,down/flat,n/a(short),,,,red,just_flipped_red,Doji,0.0,,n/a,Y,N,N,N,flat,flat/down,,N,N,N,75
