symbol,day0_date,day0_idx_from_end,day0_open,day0_close,day0_volume,day0_verified_volspike,day0_vol_x_50davg,rsi,stoch_k,stoch_d,bb_width,pctB,cci,williams_r,mfi,obv_dir,macd,macd_signal,macd_hist,macd_vs_zero,ema20,ema20_slope,ema50,ema50_slope,ema_alignment,adx,atr,atr_pct,supertrend,supertrend_flip,day0_candle,pct_from_52wh,pct_vs_ema200,bb_position,bos_triggered,vcp_pivot_broken,demand_zone_reclaimed,order_block_broken,pre_vol_pattern,pre_rsi_trend,pre_range_pct,pre_tight_range,pre_volume_dryup,pre_shakeout,bars_available
IFCI,2025-12-23,113,49.65,52.97,44216427,True,8.05,60.8,59.6,36.6,13.86,103.0,67.1,-12.1,70.1,already_rising,-0.978,-1.473,0.495,below,49.73,down/flat,51.82,down/flat,bearish,20.4,1.71,3.24,green,just_flipped_green,Three White Soldiers,-28.9,-2.09,upper,Y,Y,N,Y,rising,turning_up,6.4,Y,Y,Y,354
GVT&D,2026-01-28,89,2739.1,2905.0,706646,False,0.7,53.5,39.7,27.9,28.26,56.4,-2.2,-41.0,30.8,already_rising,-73.912,-76.766,2.854,below,2810.32,down/flat,2887.5,down/flat,crossing/mixed,21.0,122.91,4.23,green,just_flipped_green,Three White Soldiers,-12.6,9.65,midband,Y,N,N,Y,rising,turning_up,8.32,Y,Y,Y,354
ATHERENERG,2025-09-01,191,465.05,486.8,20738470,True,11.19,78.8,77.5,72.9,25.79,116.4,104.9,-22.7,88.4,already_rising,25.293,21.641,3.652,above,415.51,up,379.48,up,n/a(short),54.4,24.22,4.97,green,none_recent,none,-5.07,,upper,Y,Y,Y,Y,rising,turning_up,9.39,Y,N,N,274
LOKESHMACH,2025-12-12,119,154.7,173.61,847817,False,11.72,57.0,55.7,37.3,28.25,81.6,35.3,-13.5,64.8,already_rising,-6.639,-8.721,2.082,below,160.49,down/flat,172.75,down/flat,bearish,35.4,10.15,5.85,green,just_flipped_green,Three White Soldiers,-49.01,-13.08,above_mid,Y,N,N,Y,rising,turning_up,10.97,N,Y,Y,353
INDOTECH,2026-04-15,39,1477.9,1716.9,218085,True,4.63,71.1,89.5,83.8,35.63,140.3,200.3,-0.0,74.3,already_rising,24.738,-19.91,44.648,above,1348.68,up,1372.98,up,bearish,17.6,101.86,5.93,green,just_flipped_green,Bullish Marubozu,-38.4,2.9,upper,Y,N,Y,Y,rising,turning_up,12.8,N,N,Y,353
MENONBE,2026-05-07,23,129.4,137.02,286200,True,4.95,70.5,78.9,77.2,17.14,113.8,125.7,-20.6,74.4,already_rising,3.27,2.136,1.134,above,123.8,up,120.58,up,20>50>200,21.2,5.8,4.23,green,none_recent,none,-6.09,15.68,upper,Y,Y,Y,Y,rising,turning_up,7.87,Y,N,N,353
PAISALO,2025-09-03,189,31.15,33.35,25487122,True,2.28,69.1,51.2,32.5,9.06,146.8,190.9,-6.7,66.1,already_rising,0.039,-0.181,0.22,above,30.87,up,31.16,down/flat,n/a(short),28.3,1.11,3.34,green,none_recent,none,-31.04,,upper,Y,Y,N,Y,rising,turning_up,7.89,Y,N,Y,354
HONASA,2026-02-12,78,296.9,299.25,1978746,True,1.75,65.1,89.9,91.8,13.01,100.5,119.9,-9.3,63.7,already_rising,3.477,0.959,2.518,above,284.21,up,281.89,up,20>50>200,21.5,10.12,3.38,green,none_recent,none,-10.46,7.89,upper,Y,Y,Y,Y,rising,turning_up,7.72,Y,Y,Y,353
ASTRAMICRO,2026-04-16,38,1039.0,1074.7,827283,True,2.11,68.7,94.0,90.4,24.53,101.7,128.5,-2.3,82.9,already_rising,23.187,8.074,15.113,above,980.19,up,963.69,up,20>50>200,18.3,42.28,3.93,green,none_recent,none,-10.13,12.33,upper,Y,N,Y,Y,declining,turning_up,5.63,Y,N,Y,354
RUBYMILLS,2026-05-25,11,233.2,273.1,545398,True,19.11,75.2,46.9,28.8,17.11,144.5,204.7,-0.0,92.3,already_rising,4.468,3.14,1.328,above,234.15,up,225.92,up,20>50>200,47.3,11.03,4.04,green,none_recent,Bullish Marubozu,0.0,24.08,upper,Y,Y,N,Y,declining,turning_up,3.9,Y,Y,Y,352
SKYGOLD,2025-10-08,165,300.0,313.05,3934763,True,3.89,64.8,76.5,66.6,15.47,114.3,249.3,-15.4,58.3,already_rising,0.694,-2.431,3.125,above,286.13,up,291.78,down/flat,n/a(short),18.3,13.86,4.43,green,just_flipped_green,none,-22.29,,upper,Y,N,N,Y,rising,turning_up,13.93,N,N,Y,354
CEIGALL,2025-12-26,110,251.75,259.91,492900,True,2.32,70.4,87.2,80.8,14.85,113.9,146.3,-5.3,82.2,already_rising,1.765,-1.839,3.604,above,241.18,up,244.48,up,bearish,23.3,8.52,3.28,green,just_flipped_green,Morning Star,-25.39,-0.83,upper,Y,Y,Y,Y,rising,turning_up,11.75,N,N,N,352
ONELIFECAP,2025-09-19,176,13.5,13.62,22565,True,3.65,64.3,85.6,71.2,13.75,121.0,222.3,-0.0,70.1,already_rising,0.099,-0.055,0.154,above,12.52,up,12.59,up,n/a(short),18.8,0.75,5.5,red,none_recent,Hanging Man;Bullish Pin Bar;Three White Soldiers,-20.35,,upper,Y,Y,Y,Y,rising,turning_up,8.3,Y,N,N,353
APEX,2025-11-11,143,248.99,272.95,2889057,True,8.34,72.8,46.0,37.9,18.35,131.6,233.8,-30.7,91.6,already_rising,5.017,2.74,2.278,above,239.83,up,235.7,up,20>50>200,34.5,11.78,4.31,green,none_recent,none,-6.53,16.85,upper,Y,Y,Y,Y,rising,flat/down,7.19,Y,Y,N,354
SEAMECLTD,2025-11-28,128,917.0,960.85,93546,True,2.3,68.0,97.3,91.5,16.12,111.1,210.2,-5.5,91.3,already_rising,13.018,3.085,9.933,above,886.33,up,881.44,up,crossing/mixed,17.3,34.32,3.57,green,just_flipped_green,Three White Soldiers,-17.28,4.82,upper,Y,Y,Y,Y,rising,turning_up,6.03,Y,Y,N,352
SCPL,2025-12-10,120,227.0,269.36,711090,True,24.42,71.4,64.2,37.1,32.56,123.3,184.7,-3.1,91.7,already_rising,-1.965,-6.75,4.785,below,218.85,up,228.64,down/flat,bearish,26.1,14.42,5.35,green,just_flipped_green,Bullish Marubozu,-26.99,-0.04,upper,Y,N,N,Y,rising,turning_up,15.59,N,N,Y,352
PARAS,2026-04-15,39,715.0,754.85,3850875,True,2.03,68.5,90.4,89.4,22.49,124.2,189.7,-9.9,80.6,already_rising,12.49,-0.118,12.608,above,664.4,up,661.0,up,crossing/mixed,15.6,35.95,4.76,green,just_flipped_green,Three White Soldiers,-22.38,13.38,upper,Y,N,Y,Y,rising,turning_up,10.85,N,Y,N,354
MIRCELECTR,2026-02-09,81,33.38,35.71,2202675,True,1.51,64.5,79.4,75.5,19.63,108.1,100.2,-0.7,58.5,already_rising,1.211,1.024,0.187,above,31.96,up,29.89,up,20>50>200,23.3,1.99,5.57,green,none_recent,none,-0.81,42.76,upper,Y,N,Y,Y,rising,turning_up,12.99,N,N,Y,354
ADANIENSOL,2025-09-19,177,865.0,877.15,8119554,True,4.96,71.6,86.1,87.4,16.73,108.5,189.2,-14.2,86.0,already_rising,10.948,0.427,10.521,above,814.37,up,818.19,up,n/a(short),31.8,21.75,2.48,green,none_recent,none,-10.59,,upper,Y,Y,Y,Y,declining,flat/down,3.81,Y,Y,N,354
ADANIPOWER,2025-09-08,186,123.4,126.77,84739285,True,4.2,69.3,78.6,79.6,7.93,121.5,181.6,-23.8,73.3,already_rising,1.631,1.112,0.519,above,120.46,up,118.05,up,n/a(short),13.2,3.26,2.57,green,none_recent,Morning Star,-2.42,,upper,Y,Y,Y,Y,declining,rising_slowly,2.29,Y,Y,N,354
SGFIN,2026-02-12,78,394.7,414.45,661205,True,3.19,63.3,90.9,87.3,24.18,98.9,88.7,-9.5,70.0,already_rising,-0.738,-7.919,7.18,below,378.6,up,385.11,up,n/a(short),19.8,18.93,4.57,green,just_flipped_green,none,-8.47,,upper,Y,N,Y,Y,declining,turning_up,12.25,N,N,Y,209
KIRLPNU,2026-04-13,39,1174.1,1238.3,166045,True,2.22,71.5,92.6,90.9,20.64,110.5,151.3,-5.4,60.9,already_rising,22.303,3.144,19.159,above,1129.11,up,1116.46,up,crossing/mixed,20.5,46.47,3.75,green,just_flipped_green,Three White Soldiers,-20.11,6.89,upper,Y,N,Y,Y,declining,turning_up,10.54,N,Y,N,353
GULPOLY,2026-04-08,43,162.5,172.62,600703,True,3.33,67.0,84.4,69.0,19.42,111.4,199.3,-6.8,66.7,already_rising,2.09,0.483,1.607,above,154.15,up,150.9,up,crossing/mixed,23.3,8.43,4.88,green,none_recent,none,-21.71,11.79,upper,Y,N,Y,Y,rising,turning_up,14.27,N,N,Y,353
SUVEN,2026-04-02,46,143.43,157.96,1089578,True,2.54,65.0,71.7,51.6,19.73,127.4,123.3,-10.7,65.8,already_rising,-1.082,-3.467,2.384,below,139.49,up,145.58,down/flat,bearish,16.6,9.3,5.89,green,just_flipped_green,Three White Soldiers,-47.34,-6.49,upper,Y,N,N,Y,rising,turning_up,15.73,N,N,Y,354
ZIMLAB,2026-04-15,38,73.5,76.24,138769,True,1.91,64.8,93.2,91.7,24.39,103.6,163.6,-6.9,62.1,already_rising,1.311,-0.046,1.356,above,69.07,up,69.25,up,bearish,15.8,4.16,5.46,green,just_flipped_green,none,-39.97,-0.28,upper,Y,N,Y,Y,rising,turning_up,9.05,Y,Y,Y,353
KOTYARK,2026-03-06,62,286.75,300.15,37400,True,3.47,81.1,82.8,74.6,33.14,126.5,162.2,-3.2,51.6,already_rising,13.781,7.844,5.937,above,243.7,up,236.26,up,crossing/mixed,28.8,16.39,5.46,green,none_recent,Three White Soldiers,-49.16,-3.25,upper,Y,N,N,Y,rising,turning_up,20.66,N,N,N,352
NRBBEARING,2026-04-16,37,269.9,281.15,1223732,True,6.39,65.3,92.6,91.3,24.02,110.7,126.0,-6.6,69.4,already_rising,1.607,-3.77,5.378,above,252.25,up,256.73,up,bearish,16.6,12.4,4.41,green,just_flipped_green,Three White Soldiers,-10.25,5.43,upper,Y,N,Y,Y,rising,turning_up,8.32,Y,Y,Y,353
ARVIND,2025-10-16,159,299.55,308.65,494276,False,1.4,55.2,49.0,29.7,17.23,62.7,11.0,-18.9,49.3,already_rising,-4.406,-4.504,0.098,below,298.98,down/flat,307.04,down/flat,n/a(short),19.6,10.17,3.29,green,just_flipped_green,none,-28.22,,above_mid,Y,N,N,Y,rising,turning_up,7.48,Y,N,Y,354
ROSSTECH,2026-02-04,84,679.9,777.8,1368068,True,3.91,69.1,72.4,74.6,28.64,128.5,211.6,-6.8,93.6,already_rising,16.161,1.329,14.833,above,654.91,up,653.66,up,20>50>200,20.0,53.08,6.82,green,none_recent,Outside Bar,-7.4,30.36,upper,Y,N,Y,Y,rising,rising_slowly,18.51,N,Y,N,353
526775,2025-09-22,173,654.0,672.47,32706,True,2.67,62.9,89.1,82.0,14.81,102.2,157.3,-5.5,68.1,already_rising,11.173,6.698,4.475,above,626.93,up,599.17,up,n/a(short),15.4,27.97,4.16,green,none_recent,none,-1.23,,upper,Y,Y,Y,Y,rising,turning_up,9.23,Y,N,N,351
J&KBANK,2026-01-22,92,103.75,107.09,10150584,True,3.89,62.3,46.6,42.3,8.65,110.8,179.3,-24.0,75.0,already_rising,0.346,-0.11,0.456,above,102.23,up,102.66,down/flat,bearish,17.8,2.79,2.6,green,none_recent,none,-8.67,4.13,upper,Y,Y,N,Y,rising,flat/down,5.18,Y,N,N,354
NEPHROPLUS,2026-01-06,103,475.0,492.55,1282353,False,0.72,100.0,,,,,,-30.0,64.3,already_rising,,,,below,,down/flat,,down/flat,n/a(short),,26.66,5.41,green,none_recent,Three White Soldiers,-3.89,,n/a,N,N,N,Y,rising,flat/down,7.06,Y,Y,N,117
UTLSOLAR,2026-04-06,45,198.4,217.08,804918,True,4.15,66.0,89.2,83.6,20.23,113.0,118.3,-9.2,74.7,already_rising,2.494,-0.456,2.95,above,197.58,up,199.15,up,n/a(short),15.8,9.21,4.24,green,none_recent,Outside Bar,-6.02,,upper,Y,Y,Y,Y,declining,turning_up,4.61,Y,N,N,137
SCHNEIDER,2026-02-06,82,732.35,768.9,835378,True,2.08,65.7,94.4,95.2,33.57,99.5,101.3,-3.4,89.7,already_rising,14.326,-3.817,18.143,above,690.29,up,705.06,up,bearish,32.1,33.28,4.33,green,none_recent,Bullish Engulfing;Outside Bar,-26.91,1.74,upper,Y,N,Y,Y,rising,turning_up,10.43,N,Y,N,354
TMB,2025-10-20,156,441.2,447.0,246690,True,4.18,66.2,75.7,55.3,5.54,122.4,266.8,-6.9,70.6,already_rising,1.832,0.288,1.544,above,431.61,up,432.14,up,n/a(short),17.6,7.35,1.64,green,just_flipped_green,Three White Soldiers,-7.26,,upper,Y,Y,N,Y,rising,turning_up,5.12,Y,N,N,353
521113,2026-02-24,68,82.0,82.35,122973,True,1.96,67.8,90.6,81.2,27.96,100.7,149.3,-11.0,86.5,already_rising,2.681,1.593,1.087,above,74.04,up,70.61,up,20>50>200,21.7,5.93,7.2,green,none_recent,Long-legged Doji,-2.54,31.5,upper,Y,N,Y,Y,rising,turning_up,17.0,N,N,N,350
SPARC,2026-04-08,43,131.96,136.16,2470561,True,2.06,60.5,73.7,64.4,21.61,110.7,139.0,-7.4,78.7,already_rising,0.147,-1.988,2.135,above,122.92,up,125.83,down/flat,bearish,19.8,7.37,5.41,green,none_recent,none,-33.39,-1.11,upper,Y,N,Y,Y,declining,turning_up,13.65,N,N,Y,354
RRKABEL,2025-10-27,153,1264.0,1327.4,3262644,True,20.03,64.8,48.8,41.6,6.39,132.6,300.2,-14.6,85.8,already_rising,6.977,4.057,2.92,above,1263.59,up,1262.18,up,20>50>200,15.4,37.15,2.8,green,none_recent,Morning Star,-12.79,5.32,upper,Y,Y,N,Y,declining,flat/down,4.93,Y,Y,N,353
SOTL,2026-05-04,26,363.0,381.3,51357,True,1.69,65.8,70.7,68.5,18.76,86.8,61.7,-10.0,60.2,turning_up,8.176,6.692,1.484,above,358.89,up,353.76,up,crossing/mixed,21.7,12.6,3.3,green,none_recent,Tweezer Bottom;Outside Bar;Morning Star,-20.17,1.0,above_mid,Y,Y,Y,Y,declining,flat/down,5.57,Y,Y,N,354
ACMESOLAR,2026-03-12,59,229.0,240.08,1200296,True,1.88,59.1,62.9,44.6,8.48,101.9,74.8,-12.4,68.1,already_rising,1.376,1.312,0.064,above,229.2,down/flat,229.42,down/flat,bearish,13.8,9.81,4.09,green,none_recent,Tweezer Bottom;Three White Soldiers,-25.97,-0.62,upper,Y,Y,N,Y,rising,flat/down,7.98,Y,Y,Y,354
WALCHANNAG,2026-04-15,39,180.6,188.82,2582090,True,1.82,71.0,91.1,90.7,38.52,110.7,137.7,-4.4,72.0,already_rising,4.1,-1.559,5.659,above,160.82,up,162.48,up,bearish,20.3,10.26,5.43,green,just_flipped_green,Three White Soldiers,-32.02,5.15,upper,Y,N,Y,N,rising,turning_up,21.47,N,N,Y,354
UNIVPHOTO,2026-02-13,77,217.0,256.1,27544,True,6.57,79.5,90.9,90.9,29.55,144.0,166.8,-0.0,93.1,already_rising,2.1,-4.603,6.703,above,208.51,up,217.29,up,bearish,29.3,13.53,5.28,green,just_flipped_green,Three White Soldiers,-23.19,9.27,upper,Y,N,Y,Y,declining,turning_up,11.5,N,N,N,353
BIRLACABLE,2026-04-13,39,126.55,146.35,726976,True,10.55,65.6,84.1,74.0,32.0,107.3,107.3,-13.2,76.3,already_rising,-0.977,-4.096,3.119,below,126.17,up,130.56,down/flat,bearish,21.7,8.34,5.7,green,just_flipped_green,Outside Bar;Three White Soldiers,-31.99,-0.37,upper,Y,N,Y,N,rising,turning_up,12.54,N,N,Y,353
MIDHANI,2026-04-15,39,343.45,348.65,1024040,True,1.45,61.6,96.4,93.0,22.73,105.4,96.5,-1.6,60.7,already_rising,-0.671,-7.514,6.842,below,318.96,up,328.14,up,bearish,13.8,16.04,4.6,green,just_flipped_green,Three White Soldiers,-25.66,0.36,upper,Y,N,Y,Y,declining,turning_up,9.09,Y,N,Y,354
524520,2025-11-12,139,74.21,78.38,840241,True,10.47,72.7,77.0,74.2,13.09,138.2,354.0,-32.5,83.8,already_rising,1.115,0.516,0.599,above,70.8,up,69.41,up,20>50>200,19.4,3.14,4.01,green,none_recent,Three White Soldiers,-5.85,12.92,upper,Y,Y,Y,Y,rising,turning_up,8.0,Y,Y,N,350
HIRECT,2026-04-10,41,715.0,840.4,1839095,True,11.67,64.8,58.0,39.1,22.31,119.0,126.0,-3.4,79.5,already_rising,9.387,5.137,4.25,above,722.06,up,712.22,up,crossing/mixed,21.9,51.01,6.07,green,none_recent,Bullish Marubozu,-20.28,17.41,upper,Y,N,N,Y,declining,turning_up,11.3,N,Y,Y,354
APARINDS,2026-02-03,85,9449.5,9759.0,973633,True,12.87,76.5,93.9,79.2,32.54,131.2,185.5,-1.2,81.9,already_rising,-6.476,-248.712,242.236,below,7917.56,up,8171.78,up,bearish,35.5,397.2,4.07,green,just_flipped_green,Three White Soldiers,-1.47,15.82,upper,Y,N,Y,N,rising,turning_up,12.73,N,N,Y,354
VINDHYATEL,2026-04-15,39,1250.0,1380.65,375781,True,10.41,75.8,88.7,88.6,31.86,130.4,342.2,-14.2,76.6,already_rising,36.049,3.357,32.692,above,1129.57,up,1142.19,up,bearish,25.1,75.92,5.5,green,just_flipped_green,none,-26.91,3.46,upper,Y,N,Y,Y,rising,turning_up,12.67,N,N,Y,354
AXISCADES,2026-02-13,77,1365.4,1422.1,295271,True,3.54,62.7,98.9,94.3,27.57,114.6,106.9,-3.3,73.7,already_rising,3.737,-28.034,31.771,above,1254.26,up,1295.02,up,crossing/mixed,22.7,65.69,4.62,green,just_flipped_green,none,-20.07,11.74,upper,Y,N,Y,Y,rising,turning_up,17.14,N,N,N,354
ADANIGREEN,2026-04-06,45,857.0,921.1,13113062,True,3.29,57.2,66.0,43.4,11.22,115.8,54.3,-4.5,60.3,already_rising,-15.4,-22.413,7.013,below,869.44,down/flat,903.13,down/flat,bearish,26.2,39.36,4.27,red,none_recent,Bullish Marubozu;Three White Soldiers,-21.78,-4.12,upper,Y,Y,Y,Y,rising,turning_up,7.25,Y,N,Y,354
JINDALSAW,2026-01-19,95,155.0,179.29,122465614,True,32.8,64.4,35.1,22.1,12.96,112.3,98.7,-14.0,93.9,already_rising,-0.446,-0.769,0.323,below,165.03,down/flat,168.97,down/flat,bearish,20.7,5.98,3.33,green,just_flipped_green,none,-37.4,-10.17,upper,Y,Y,N,Y,rising,flat/down,5.3,Y,Y,Y,354
OCCLLTD,2026-03-10,60,79.0,85.2,73194,False,1.32,43.1,26.7,14.7,19.04,27.2,-123.1,-46.3,27.1,flat/down,-3.057,-2.327,-0.731,below,87.92,down/flat,92.87,down/flat,bearish,24.4,4.35,5.11,red,none_recent,none,-46.56,-18.29,lower,N,N,N,Y,rising,flat/down,16.07,N,N,N,351
INOXINDIA,2026-03-25,50,1208.8,1238.8,203621,True,3.14,64.4,68.8,64.1,9.23,113.8,217.5,-16.0,76.5,turning_up,14.573,9.86,4.713,above,1174.21,up,1158.28,up,20>50>200,17.5,43.23,3.49,green,none_recent,none,-3.82,8.06,upper,Y,Y,Y,Y,rising,flat/down,6.37,Y,N,N,353
CENTUM,2026-02-20,71,2363.0,2542.8,1736851,True,22.08,61.8,49.1,47.4,14.89,104.3,150.5,-24.1,95.2,already_rising,32.366,26.193,6.173,above,2364.36,up,2346.6,up,20>50>200,14.8,128.24,5.04,green,none_recent,none,-16.47,9.69,upper,Y,Y,N,Y,declining,flat/down,10.22,N,Y,N,352
SOLARINDS,2026-03-04,65,14124.0,14523.0,662105,True,3.88,67.7,84.5,81.9,9.76,131.9,276.4,-4.4,76.2,already_rising,227.914,141.441,86.473,above,13505.0,up,13284.02,up,20>50>200,15.5,451.29,3.11,green,none_recent,none,-18.5,9.76,upper,Y,Y,Y,Y,rising,turning_up,6.93,Y,N,N,353
BSE,2025-10-10,163,2335.0,2385.0,7275253,True,1.53,64.9,94.0,91.4,17.02,108.5,146.9,-6.4,65.4,already_rising,2.022,-36.736,38.758,above,2205.99,up,2266.71,up,n/a(short),27.1,75.14,3.15,green,just_flipped_green,Three White Soldiers,-21.29,,upper,Y,N,Y,Y,rising,turning_up,12.08,N,N,Y,354
STEELXIND,2026-04-08,43,8.65,8.96,6361333,True,4.85,67.9,84.2,71.7,22.68,122.6,226.5,-14.4,70.5,already_rising,0.038,-0.114,0.151,above,7.8,up,7.96,up,bearish,20.5,0.47,5.25,green,just_flipped_green,Three White Soldiers,-22.42,2.66,upper,Y,N,N,Y,declining,turning_up,14.51,N,N,Y,354
HARDWYN,2025-11-03,147,14.76,15.5,5129061,True,5.52,72.2,94.3,93.7,28.38,102.0,154.1,-2.1,70.7,already_rising,0.433,0.158,0.275,above,13.82,up,13.58,up,crossing/mixed,19.0,0.84,5.44,green,none_recent,Morning Star,-19.06,8.71,upper,Y,N,Y,Y,declining,turning_up,6.45,Y,N,N,353
CEMPRO,2026-04-08,43,592.2,605.05,1045285,True,2.98,60.1,87.1,73.1,14.72,126.0,128.9,-3.2,61.7,already_rising,-7.383,-17.019,9.636,below,554.7,up,593.18,down/flat,bearish,22.3,29.27,4.84,green,just_flipped_green,Three White Soldiers,-35.91,-10.72,upper,Y,Y,Y,Y,declining,turning_up,11.1,N,N,Y,354
HSCL,2026-04-15,39,476.0,490.45,3147772,True,1.54,66.1,90.6,85.3,11.51,119.5,161.8,-1.4,55.2,already_rising,4.636,0.106,4.53,above,460.29,up,459.59,up,crossing/mixed,15.4,20.12,4.1,green,just_flipped_green,none,-8.23,4.9,upper,Y,Y,Y,Y,declining,turning_up,8.53,Y,N,N,354
BELRISE,2026-02-11,79,182.0,191.81,15270313,True,1.75,66.0,87.9,84.0,23.11,99.6,106.4,-5.0,81.9,already_rising,4.167,1.884,2.282,above,176.24,up,170.83,up,n/a(short),27.7,7.36,3.83,green,none_recent,Outside Bar,-1.0,,upper,Y,N,Y,Y,declining,flat/down,5.89,Y,Y,N,258
NDLVENTURE,2026-02-10,79,92.91,100.81,58132,True,4.97,70.2,72.6,64.1,11.24,144.8,370.9,-6.7,65.1,turning_up,0.963,0.289,0.675,above,91.73,up,90.62,up,20>50>200,12.4,4.52,4.49,green,none_recent,none,-10.19,16.9,upper,Y,Y,Y,Y,declining,flat/down,4.96,Y,N,N,351
APCOTEXIND,2026-04-08,43,370.0,381.7,47785,True,1.57,62.3,95.0,85.6,15.87,104.9,132.1,-4.3,47.8,already_rising,-0.543,-4.542,3.999,below,354.07,up,359.04,up,bearish,25.9,16.02,4.2,green,just_flipped_green,none,-14.03,3.36,upper,Y,N,N,Y,declining,turning_up,14.29,N,N,Y,353
PREMEXPLN,2026-04-22,34,494.9,535.35,1767003,True,5.26,68.4,88.6,88.9,34.2,105.6,115.9,-6.9,92.5,already_rising,12.635,1.348,11.286,above,470.25,up,472.31,up,bearish,18.2,25.82,4.82,green,just_flipped_green,none,-21.73,6.57,upper,Y,N,Y,Y,declining,rising_slowly,8.4,Y,N,N,354
DIACABS,2026-04-16,38,144.0,148.28,3554421,True,2.14,66.9,90.8,87.7,23.02,114.6,146.3,-4.6,81.0,already_rising,2.592,0.083,2.509,above,132.88,up,132.47,up,crossing/mixed,18.5,7.24,4.88,green,just_flipped_green,Three White Soldiers,-19.19,9.74,upper,Y,N,Y,Y,rising,turning_up,7.77,Y,N,N,354
SPECTRUM,2026-01-30,86,1261.0,1334.3,7602,True,1.46,66.5,92.5,85.9,25.0,110.4,160.8,-6.5,74.8,already_rising,15.347,-10.54,25.887,above,1186.07,up,1213.07,up,bearish,21.3,69.81,5.23,green,just_flipped_green,Three White Soldiers,-43.91,-7.59,upper,Y,N,Y,Y,declining,turning_up,13.0,N,N,N,352
AFIL,2026-02-20,71,5.43,5.88,5368590,True,4.37,63.7,85.5,80.1,20.34,123.1,103.2,-24.8,76.8,already_rising,-0.089,-0.22,0.131,below,5.3,up,5.77,down/flat,bearish,46.9,0.35,6.01,green,just_flipped_green,Bullish Engulfing;Outside Bar,-42.13,-14.47,upper,Y,N,Y,Y,rising,turning_up,13.27,N,N,N,353
CLEANMAX,2026-04-06,44,800.0,841.4,339831,False,0.5,44.8,47.1,35.8,15.78,42.0,,-46.2,49.9,turning_up,,,,below,843.55,down/flat,,down/flat,n/a(short),,84.11,10.0,green,none_recent,none,-12.35,,midband,N,N,N,Y,declining,turning_up,14.44,N,Y,Y,66
MCLEODRUSS,2026-04-10,40,39.28,43.47,1656702,True,2.91,65.9,91.7,84.4,37.53,110.4,135.7,-17.5,49.1,already_rising,-0.192,-1.497,1.305,below,36.64,up,38.97,down/flat,bearish,23.6,2.69,6.2,green,just_flipped_green,Three White Soldiers,-36.51,2.8,upper,Y,N,Y,Y,declining,turning_up,17.69,N,N,Y,352
EBGNG,2026-02-06,82,313.0,321.1,1353018,True,9.59,66.4,96.9,85.6,29.38,110.7,117.7,-0.0,77.1,already_rising,-2.181,-9.429,7.247,below,279.13,up,292.09,down/flat,n/a(short),27.6,15.62,4.86,green,just_flipped_green,Three White Soldiers,-20.06,,upper,Y,N,Y,N,rising,turning_up,17.28,N,N,Y,212
SAIL,2025-12-30,109,134.09,141.02,41245044,True,2.04,65.6,81.5,79.0,9.13,131.4,118.2,-4.4,73.4,already_rising,0.053,-1.071,1.124,above,132.66,up,133.1,up,crossing/mixed,19.1,3.9,2.77,green,just_flipped_green,Three White Soldiers,-3.34,10.54,upper,Y,Y,Y,Y,rising,turning_up,8.76,Y,N,Y,354
BUILDPRO,2026-02-19,73,875.0,1010.7,398130,True,4.03,61.5,71.9,64.8,43.6,109.2,,-4.2,80.6,already_rising,39.33,,,above,835.42,up,,down/flat,n/a(short),27.4,73.41,7.26,green,none_recent,none,-1.34,,upper,Y,N,Y,Y,declining,flat/down,14.24,N,N,N,101
BHEL,2025-09-11,183,220.0,229.08,28357811,True,4.55,57.0,78.9,66.6,9.4,111.3,59.7,-3.7,60.7,already_rising,-3.91,-6.386,2.476,below,219.73,down/flat,228.97,down/flat,n/a(short),32.5,6.09,2.66,green,just_flipped_green,none,-15.81,,upper,Y,Y,Y,Y,declining,turning_up,5.33,Y,N,Y,354
KOPRAN,2026-04-08,43,138.84,146.27,986682,True,3.28,67.6,87.8,80.3,27.51,128.8,187.2,-2.7,82.6,already_rising,0.828,-2.612,3.441,above,123.64,up,127.62,up,bearish,17.8,8.07,5.52,green,just_flipped_green,Three White Soldiers,-31.65,-2.1,upper,Y,N,N,Y,rising,turning_up,25.3,N,N,Y,354
MAHABANK,2025-12-30,109,57.77,60.51,40215113,True,1.98,64.5,78.8,73.1,6.06,144.2,141.5,-8.0,72.3,already_rising,0.077,-0.216,0.293,above,57.71,up,57.62,up,20>50>200,15.7,1.34,2.22,green,none_recent,none,-1.71,9.22,upper,Y,Y,Y,Y,rising,flat/down,2.0,Y,Y,N,354
RSWM,2026-04-10,41,144.97,157.04,221839,True,4.53,69.4,93.4,80.5,24.37,120.3,123.6,-2.6,60.2,already_rising,-0.765,-3.77,3.004,below,136.86,up,140.78,down/flat,bearish,24.0,6.52,4.15,green,just_flipped_green,Bullish Marubozu;Three White Soldiers,-17.99,4.45,upper,Y,N,Y,Y,declining,turning_up,12.18,N,Y,Y,353
LAURUSLABS,2025-10-23,155,927.4,934.4,4121681,True,2.27,68.1,94.0,93.2,12.55,101.2,144.4,-8.6,80.8,already_rising,10.455,3.425,7.03,above,889.21,up,868.75,up,n/a(short),19.3,22.46,2.4,green,just_flipped_green,Outside Bar,-1.02,,upper,Y,Y,Y,Y,rising,turning_up,6.35,Y,Y,N,354
