symbol,name,exchange,yahoo_ticker,series_or_group,isin,bse_sector,bse_mktcap_cr,isin_norm
DONEAR,Donear Industries Limited,NSE,DONEAR.NS,EQ,INE668D01028,,,INE668D01028
DPABHUSHAN,D. P. Abhushan Limited,NSE,DPABHUSHAN.NS,EQ,INE266Y01019,,,INE266Y01019
DPSCLTD,DPSC Limited,NSE,DPSCLTD.NS,BE,INE360C01024,,,INE360C01024
DPWIRES,D P Wires Limited,NSE,DPWIRES.NS,EQ,INE864X01013,,,INE864X01013
DECCANCE,Deccan Cements Limited,NSE,DECCANCE.NS,EQ,INE583C01021,,,INE583C01021
DCXINDIA,DCX Systems Limited,NSE,DCXINDIA.NS,EQ,INE0KL801015,,,INE0KL801015
COASTCORP,Coastal Corporation Limited,NSE,COASTCORP.NS,EQ,INE377E01024,,,INE377E01024
DCW,DCW Limited,NSE,DCW.NS,EQ,INE500A01029,,,INE500A01029
COSMOFIRST,COSMO FIRST LIMITED,NSE,COSMOFIRST.NS,EQ,INE757A01017,,,INE757A01017
COUNCODOS,Country Condo's Limited,NSE,COUNCODOS.NS,EQ,INE695B01025,,,INE695B01025
CPCAP,CP Capital Limited,NSE,CPCAP.NS,BE,INE521J01018,,,INE521J01018
CPEDU,Career Point Edutech Limited,NSE,CPEDU.NS,EQ,INE0P6P01016,,,INE0P6P01016
CPPLUS,Aditya Infotech Limited,NSE,CPPLUS.NS,EQ,INE819V01029,,,INE819V01029
CRAFTSMAN,Craftsman Automation Limited,NSE,CRAFTSMAN.NS,EQ,INE00LO01017,,,INE00LO01017
CRAMC,Canara Robeco Asset Management Company Limited,NSE,CRAMC.NS,EQ,INE218I01013,,,INE218I01013
CREATIVEYE,Creative Eye Limited,NSE,CREATIVEYE.NS,EQ,INE230B01021,,,INE230B01021
CREDITACC,CREDITACCESS GRAMEEN LIMITED,NSE,CREDITACC.NS,EQ,INE741K01010,,,INE741K01010
CREST,Crest Ventures Limited,NSE,CREST.NS,EQ,INE559D01011,,,INE559D01011
CRISIL,Crisil Limited,NSE,CRISIL.NS,EQ,INE007A01025,,,INE007A01025
CRIZAC,Crizac Limited,NSE,CRIZAC.NS,EQ,INE0S4R01014,,,INE0S4R01014
CROMPTON,Crompton Greaves Consumer Electricals Limited,NSE,CROMPTON.NS,EQ,INE299U01018,,,INE299U01018
CROWN,Crown Lifters Limited,NSE,CROWN.NS,EQ,INE491V01019,,,INE491V01019
CSBBANK,CSB Bank Limited,NSE,CSBBANK.NS,EQ,INE679A01013,,,INE679A01013
CORONA,CORONA Remedies Limited,NSE,CORONA.NS,EQ,INE02ZQ01018,,,INE02ZQ01018
COROMANDEL,Coromandel International Limited,NSE,COROMANDEL.NS,EQ,INE169A01031,,,INE169A01031
CORDSCABLE,Cords Cable Industries Limited,NSE,CORDSCABLE.NS,BE,INE792I01017,,,INE792I01017
COMFINTE,Comfort Intech Limited,NSE,COMFINTE.NS,EQ,INE819A01049,,,INE819A01049
COCHINSHIP,Cochin Shipyard Limited,NSE,COCHINSHIP.NS,EQ,INE704P01025,,,INE704P01025
COCKERILL,John Cockerill India Limited,NSE,COCKERILL.NS,EQ,INE515A01019,,,INE515A01019
COFFEEDAY,Coffee Day Enterprises Limited,NSE,COFFEEDAY.NS,BE,INE335K01011,,,INE335K01011
COFORGE,Coforge Limited,NSE,COFORGE.NS,EQ,INE591G01025,,,INE591G01025
COHANCE,Cohance Lifesciences Limited,NSE,COHANCE.NS,EQ,INE03QK01018,,,INE03QK01018
COLPAL,Colgate Palmolive (India) Limited,NSE,COLPAL.NS,EQ,INE259A01022,,,INE259A01022
COMPUSOFT,Compucom Software Limited,NSE,COMPUSOFT.NS,EQ,INE453B01029,,,INE453B01029
CORALFINAC,Coral India Finance & Housing Limited,NSE,CORALFINAC.NS,EQ,INE558D01021,,,INE558D01021
COMSYN,Commercial Syn Bags Limited,NSE,COMSYN.NS,EQ,INE073V01015,,,INE073V01015
CONCOR,Container Corporation of India Limited,NSE,CONCOR.NS,EQ,INE111A01025,,,INE111A01025
CONCORDBIO,Concord Biotech Limited,NSE,CONCORDBIO.NS,EQ,INE338H01029,,,INE338H01029
CONFIPET,Confidence Petroleum India Limited,NSE,CONFIPET.NS,EQ,INE552D01024,,,INE552D01024
CONSOFINVT,Consolidated Finvest & Holdings Limited,NSE,CONSOFINVT.NS,EQ,INE025A01027,,,INE025A01027
CONTROLPR,Control Print Limited,NSE,CONTROLPR.NS,EQ,INE663B01015,,,INE663B01015
CSLFINANCE,CSL Finance Limited,NSE,CSLFINANCE.NS,EQ,INE718F01018,,,INE718F01018
CTE,Cambridge Technology Enterprises Limited,NSE,CTE.NS,EQ,INE627H01017,,,INE627H01017
CUB,City Union Bank Limited,NSE,CUB.NS,EQ,INE491A01021,,,INE491A01021
DCBBANK,DCB Bank Limited,NSE,DCBBANK.NS,EQ,INE503A01015,,,INE503A01015
DBEIL,Deepak Builders & Engineers India Limited,NSE,DBEIL.NS,BE,INE0OPA01019,,,INE0OPA01019
DBL,Dilip Buildcon Limited,NSE,DBL.NS,EQ,INE917M01012,,,INE917M01012
DBOL,Dhampur Bio Organics Limited,NSE,DBOL.NS,BE,INE0I3401014,,,INE0I3401014
DBREALTY,Valor Estate Limited,NSE,DBREALTY.NS,BE,INE879I01012,,,INE879I01012
DBSTOCKBRO,DB (International) Stock Brokers Limited,NSE,DBSTOCKBRO.NS,EQ,INE921B01025,,,INE921B01025
