symbol,name,exchange,price_180d_ago,past_date_used,price_today,return_pct,mktcap_cr,cap_bucket,sector,avg_daily_volume,avg_daily_value_rs,penny_flag,isin_norm,yahoo_ticker,robust_return_pct,robust_now,robust_past,live_today_2ndsrc,price_mismatch_pct,return_delta_raw_vs_robust,robust_below_25
JGCHEM,J.G.Chemicals Limited,NSE,321.8,2026-01-20,445.45,38.42,,,,90159.0,34801087.0,False,INE0MB501011,JGCHEM.NS,37.32,445.45,324.4,,,1.1,False
STARHEALTH,Star Health and Allied Insurance Company Limited,NSE,435.0,2026-01-20,582.95,34.01,,,,649776.0,326538957.0,False,INE575P01011,STARHEALTH.NS,37.05,597.35,435.85,,,3.04,False
KMEW,Knowledge Marine & Engineering Works Limited,NSE,1770.6,2026-01-20,2404.9,35.82,,,,169397.0,312422319.0,False,INE0CJD01029,KMEW.NS,36.98,2425.4,1770.6,,,1.16,False
WELSPLSOL,Welspun Specialty Solutions Limited,NSE,38.05,2026-04-21,53.21,39.84,,,,1479705.0,77641648.0,False,INE731F01037,WELSPLSOL.NS,36.96,53.21,38.85,,,2.88,False
IKIO,IKIO Technologies Limited,NSE,156.39,2026-01-20,219.37,40.27,,,,873940.0,165393361.0,False,INE0LOJ01019,IKIO.NS,36.86,214.04,156.39,,,3.41,False
GINNIFILA,Ginni Filaments Limited,NSE,37.31,2026-01-20,48.53,30.07,,,,131368.0,5634553.0,False,INE424C01010,GINNIFILA.NS,36.85,51.06,37.31,,,6.78,False
PITTIENG,Pitti Engineering Limited,NSE,697.8,2026-01-20,943.65,35.23,,,,51212.0,45273580.0,False,INE450D01021,PITTIENG.NS,36.8,954.6,697.8,,,1.57,False
AEGISVOPAK,Aegis Vopak Terminals Limited,NSE,204.0,2026-01-20,271.24,32.96,,,,1276123.0,298266903.0,False,INE0INX01018,AEGISVOPAK.NS,36.62,280.64,205.41,,,3.66,False
XPROINDIA,Xpro India Limited,NSE,1024.65,2026-01-20,1397.3,36.37,,,,57041.0,64776220.0,False,INE445C01015,XPROINDIA.NS,36.6,1399.7,1024.65,,,0.23,False
PREMEXPLN,Premier Explosives Limited,NSE,467.0,2026-01-20,664.1,42.21,,,,623987.0,402647260.0,False,INE863B01029,PREMEXPLN.NS,36.47,668.0,489.5,,,5.74,False
DHANBANK,Dhanlaxmi Bank Limited,NSE,24.92,2026-01-20,33.86,35.87,,,,1456733.0,44400456.0,False,INE680A01011,DHANBANK.NS,36.44,34.0,24.92,,,0.57,False
WOCKPHARMA,Wockhardt Limited,NSE,1376.0,2026-01-20,1900.7,38.13,,,,1544550.0,2556133995.0,False,INE049B01025,WOCKPHARMA.NS,36.37,1876.4,1376.0,,,1.76,False
SAMBHV,Sambhv Steel Tubes Limited,NSE,88.57,2026-01-20,118.96,34.31,,,,1271466.0,135978000.0,False,INE12NJ01018,SAMBHV.NS,36.17,120.61,88.57,,,1.86,False
VOLTAMP,Voltamp Transformers Limited,NSE,6911.0,2026-01-20,9522.0,37.78,,,,49347.0,459491338.0,False,INE540H01012,VOLTAMP.NS,36.16,9410.0,6911.0,,,1.62,False
AXISCADES,AXISCADES Technologies Limited,NSE,1178.1,2026-01-20,1548.0,31.4,,,,156070.0,254766296.0,False,INE555B01013,AXISCADES.NS,35.92,1601.3,1178.1,,,4.52,False
IDEA,Vodafone Idea Limited,NSE,10.13,2026-01-20,13.74,35.64,,,,505567606.0,5862532289.0,False,INE669E01016,IDEA.NS,35.85,13.83,10.18,,,0.21,False
OAL,Oriental Aromatics Limited,NSE,258.55,2026-01-20,358.75,38.75,,,,24640.0,7365071.0,False,INE959C01023,OAL.NS,35.85,357.35,263.05,,,2.9,False
SPLPETRO,Supreme Petrochem Limited,NSE,507.85,2026-01-20,693.9,36.63,,,,119284.0,82420926.0,False,INE663A01033,SPLPETRO.NS,35.84,717.65,528.3,,,0.79,False
