rank,symbol,name,exchange,sector,cap_bucket,return_pct_final,close,scorecard,vcp_quality,vcp_status,pd_zone,structure_D,octave,ind_score_40,struct_score_25,vcp_score_20,gann_score_15,TOTAL_100,tier,audit
257,SAMBHV,Sambhv Steel Tubes Limited,NSE,Basic Materials,,34.31,118.96,BULLISH,No VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),5/8,25,9,7,12,53,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_fvg:4;C_3rd_leg:7;D_above_1x1:5;D_time_cycle:4;D_room_to_run:3
258,ASHIANA,Ashiana Housing Limited,NSE,Real Estate,,27.31,374.8,MILD BULLISH,Moderate VCP,forming / still basing,Premium,bearish (LH/LL),7/8 (exhaustion),20,15,13,5,53,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_ema_aligned:5;A_supertrend_green:3;B_discount_or_demand:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_valid_vcp:8;C_vdu:5;D_above_1x1:5
259,ITDC,India Tourism Development Corporation Limited,NSE,Consumer Cyclical,,38.18,743.95,BULLISH,No VCP,AT PIVOT (actionable),Premium,ranging,7/8 (exhaustion),24,17,7,5,53,TIER 3,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;D_above_1x1:5
260,IKIO,IKIO Technologies Limited,NSE,Technology,,40.27,219.37,BULLISH,No VCP,BROKEN OUT (fresh),Premium,bullish (HH/HL),7/8 (exhaustion),16,22,10,5,53,TIER 3,A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_chart_pattern:3;D_above_1x1:5
261,ZENTEC,Zen Technologies Limited,NSE,Industrials,,34.99,1769.7,NEUTRAL,No VCP,forming / still basing,Premium,ranging,6/8 (75%),17,17,8,11,53,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_discount_or_demand:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;C_chart_pattern:3;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
262,544037,Amic Forging Ltd,BSE,,,48.02,1767.05,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),27,12,5,9,53,TIER 3,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_bb_squeeze:4;A_mfi_rising_low:3;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;D_above_1x1:5;D_time_cycle:4
263,TALBROAUTO,Talbros Automotive Components Limited,NSE,Consumer Cyclical,,61.65,405.1,BULLISH,Strong VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),20,12,16,5,53,TIER 3,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_bb_squeeze:4;A_ema_aligned:5;A_supertrend_green:3;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_vdu:5;C_chart_pattern:3;D_above_1x1:5
264,CUPID,Cupid Limited,NSE,Consumer Defensive,,161.8,214.78,BULLISH,No VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),20,14,10,9,53,TIER 3,A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_fvg:4;C_3rd_leg:7;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4
265,SSWL,Steel Strips Wheels Limited,NSE,Consumer Cyclical,,39.83,266.21,BULLISH,No VCP,BROKEN OUT (fresh),Premium,bullish (HH/HL),7/8 (exhaustion),21,17,10,5,53,TIER 3,A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_chart_pattern:3;D_above_1x1:5
266,MODISONLTD,MODISON LIMITED,NSE,Industrials,,97.82,295.4,MILD BULLISH,No VCP,AT PIVOT (actionable),Premium,bearish (LH/LL),6/8 (75%),20,7,15,11,53,TIER 3,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_bb_squeeze:4;A_mfi_rising_low:3;A_ema_aligned:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;C_chart_pattern:3;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
267,POKARNA,Pokarna Limited,NSE,Industrials,,29.59,967.3,MILD BULLISH,No VCP,forming / still basing,Premium,ranging,5/8,24,12,8,8,52,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_mfi_rising_low:3;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;C_chart_pattern:3;D_above_1x1:5;D_room_to_run:3
268,TAALTECH,Taal Tech Limited,NSE,,,31.08,3933.0,BULLISH,No VCP,AT PIVOT (actionable),Premium,ranging,7/8 (exhaustion),16,17,10,9,52,TIER 3,A_rsi_45_65:5;A_obv_up:3;A_cci_above0:2;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4
269,BEPL,Bhansali Engineering Polymers Limited,NSE,Basic Materials,,36.25,113.1,BULLISH,No VCP,extended past pivot,Premium,ranging,8/8 (52w high),21,22,0,9,52,TIER 3,A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;D_above_1x1:5;D_time_cycle:4
270,MARKSANS,Marksans Pharma Limited,NSE,Healthcare,,57.3,267.1,BULLISH,Moderate VCP,forming / still basing,Premium,bullish (HH/HL),8/8 (52w high),22,12,13,5,52,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_vdu:5;D_above_1x1:5
271,OFSS,Oracle Financial Services Software Limited,NSE,Technology,,49.06,11771.0,BULLISH,No VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),20,17,10,5,52,TIER 3,A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_chart_pattern:3;D_above_1x1:5
272,GOLDIAM,Goldiam International Limited,NSE,Consumer Cyclical,,48.51,345.4,MILD BULLISH,No VCP,forming / still basing,Premium,ranging,7/8 (exhaustion),27,17,3,5,52,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_chart_pattern:3;D_above_1x1:5
273,VTL,Vardhman Textiles Limited,NSE,Consumer Cyclical,,56.36,636.55,NEUTRAL,Moderate VCP,AT PIVOT (actionable),Premium,ranging,7/8 (exhaustion),17,6,20,9,52,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_ema_aligned:5;A_supertrend_green:3;B_liq_swept:3;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
274,PSPPROJECT,PSP Projects Limited,NSE,Industrials,,39.21,1046.3,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),22,17,8,5,52,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_discount_or_demand:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;C_chart_pattern:3;D_above_1x1:5
275,TANLA,Tanla Platforms Limited,NSE,Technology,,30.39,584.55,BULLISH,No VCP,extended past pivot,Premium,bullish (HH/HL),5/8,25,19,0,8,52,TIER 3,A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;D_above_1x1:5;D_room_to_run:3
276,BALRAMCHIN,Balrampur Chini Mills Limited,NSE,Consumer Defensive,,47.1,604.45,BULLISH,No VCP,BROKEN OUT (fresh),Premium,ranging,8/8 (52w high),21,12,10,9,52,TIER 3,A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4
277,SERVOTECH,Servotech Renewable Power System Limited,NSE,Industrials,,51.56,99.8,MILD BULLISH,No VCP,forming / still basing,Premium,bearish (LH/LL),4/8 (50%),22,15,5,10,52,TIER 3,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_bb_squeeze:4;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_vdu:5;D_time_cycle:4;D_octave_key:3;D_room_to_run:3
278,DIACABS,Diamond Power Infrastructure Limited,NSE,Industrials,,72.2,222.38,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),22,17,8,5,52,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;C_chart_pattern:3;D_above_1x1:5
279,543787,Macfos Ltd,BSE,,,58.4,1143.7,BULLISH,No VCP,AT PIVOT (actionable),Premium,ranging,7/8 (exhaustion),24,12,12,4,52,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;B_bull_bos:5;B_fvg:4;B_liq_swept:3;C_3rd_leg:7;C_vdu:5;D_time_cycle:4
280,PAISALO,Paisalo Digital Limited,NSE,Financial Services,,119.08,71.75,BULLISH,No VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),16,17,10,9,52,TIER 3,A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4
281,AYE,Aye Finance Limited,NSE,Financial Services,,29.64,168.12,BULLISH,No VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),7/8 (exhaustion),15,17,15,5,52,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_supertrend_green:3;B_bull_bos:5;B_discount_or_demand:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;C_chart_pattern:3;D_above_1x1:5
282,SUBEXLTD,Subex Limited,NSE,Technology,,32.83,13.27,BULLISH,No VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),7/8 (exhaustion),20,17,10,5,52,TIER 3,A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_chart_pattern:3;D_above_1x1:5
283,SPANDANA,Spandana Sphoorty Financial Limited,NSE,Financial Services,,26.07,296.9,BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,ranging,7/8 (exhaustion),15,12,20,5,52,TIER 3,A_rsi_45_65:5;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5
284,NOVARTIND,Novartis India Limited,NSE,Healthcare,,133.56,1570.1,BULLISH,No VCP,forming / still basing,Premium,ranging,7/8 (exhaustion),25,19,3,5,52,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;C_chart_pattern:3;D_above_1x1:5
285,SANGHVIMOV,Sanghvi Movers Limited,NSE,Industrials,,41.6,421.2,MILD BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),20,17,5,9,51,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;D_above_1x1:5;D_time_cycle:4
286,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,NSE,Basic Materials,,27.58,270.5,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),6/8 (75%),15,20,5,11,51,TIER 3,A_bb_squeeze:4;A_obv_up:3;A_ema_aligned:5;A_supertrend_green:3;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_vdu:5;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
287,KSHINTL,KSH International Limited,NSE,Industrials,,141.08,864.75,NEUTRAL,No VCP,AT PIVOT (actionable),Premium,bearish (LH/LL),8/8 (52w high),20,14,12,5,51,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;C_3rd_leg:7;C_vdu:5;D_above_1x1:5
288,GREENPLY,Greenply Industries Limited,NSE,Basic Materials,,38.74,315.35,BULLISH,No VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),7/8 (exhaustion),22,12,12,5,51,TIER 3,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_bb_squeeze:4;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;D_above_1x1:5
289,ONELIFECAP,Onelife Capital Advisors Limited,NSE,Financial Services,,135.35,36.88,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),8/8 (52w high),22,12,8,9,51,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4
290,GOCLCORP,GOCL Corporation Limited,NSE,Basic Materials,,52.14,403.7,MILD BULLISH,No VCP,AT PIVOT (actionable),Premium,ranging,7/8 (exhaustion),24,7,15,5,51,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_mfi_rising_low:3;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;C_chart_pattern:3;D_above_1x1:5
291,RML,Rane (Madras) Limited,NSE,Consumer Cyclical,,55.41,1179.2,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),21,17,8,5,51,TIER 3,A_rsi_45_65:5;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;C_chart_pattern:3;D_above_1x1:5
292,EIEL,Enviro Infra Engineers Limited,NSE,Industrials,,25.23,220.23,MILD BULLISH,No VCP,forming / still basing,Premium,ranging,4/8 (50%),24,7,5,15,51,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;B_fvg:4;B_liq_swept:3;C_vdu:5;D_above_1x1:5;D_time_cycle:4;D_octave_key:3;D_room_to_run:3
293,540401,Maximus International Ltd,BSE,,,35.83,13.61,BULLISH,No VCP,BROKEN OUT (fresh),Premium,ranging,8/8 (52w high),20,12,10,9,51,TIER 3,A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4
294,CALSOFT,California Software Company Limited,NSE,Technology,,48.96,22.12,MILD BULLISH,No VCP,forming / still basing,Premium,ranging,6/8 (75%),23,9,8,11,51,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_mfi_rising_low:3;A_ema_aligned:5;A_atr_expanding:3;B_bull_bos:5;B_fvg:4;C_vdu:5;C_chart_pattern:3;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
295,HSCL,Himadri Speciality Chemical Limited,NSE,Basic Materials,,61.65,741.55,BULLISH,No VCP,BROKEN OUT (fresh),Premium,ranging,8/8 (52w high),22,17,7,5,51,TIER 3,A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;D_above_1x1:5
296,FILATEX,Filatex India Limited,NSE,Consumer Cyclical,,64.42,71.57,BULLISH,No VCP,extended past pivot,Premium,bullish (HH/HL),8/8 (52w high),21,22,3,5,51,TIER 3,A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_chart_pattern:3;D_above_1x1:5
297,ARVIND,Arvind Limited,NSE,Consumer Cyclical,,79.49,535.95,NEUTRAL,No VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),7/8 (exhaustion),17,17,12,5,51,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_discount_or_demand:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;D_above_1x1:5
298,VISAKAIND,Visaka Industries Limited,NSE,Industrials,,28.45,80.95,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),6/8 (75%),25,12,3,11,51,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_chart_pattern:3;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
299,SUMICHEM,Sumitomo Chemical India Limited,NSE,Basic Materials,,26.45,538.55,BULLISH,No VCP,BROKEN OUT (fresh),Premium,ranging,5/8,16,17,10,8,51,TIER 3,A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_chart_pattern:3;D_above_1x1:5;D_room_to_run:3
300,SIS,SIS LIMITED,NSE,Industrials,,31.37,433.6,BULLISH,No VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),7/8 (exhaustion),22,12,12,5,51,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;D_above_1x1:5
301,POWERICA,Powerica Limited,NSE,Industrials,,44.97,572.65,NEUTRAL,No VCP,forming / still basing,Premium,bullish (HH/HL),6/8 (75%),15,17,8,11,51,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_mfi_rising_low:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;C_chart_pattern:3;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
302,AMANTA,Amanta Healthcare Limited,NSE,Healthcare,,62.77,168.0,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),20,17,5,9,51,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;D_above_1x1:5;D_time_cycle:4
303,TARSONS,Tarsons Products Limited,NSE,Healthcare,,41.82,287.45,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),5/8,21,17,5,8,51,TIER 3,A_rsi_45_65:5;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;D_above_1x1:5;D_room_to_run:3
304,RATNAMANI,Ratnamani Metals & Tubes Limited,NSE,Basic Materials,,25.84,2582.8,NEUTRAL,No VCP,AT PIVOT (actionable),Equilibrium,bearish (LH/LL),4/8 (50%),20,7,12,11,50,TIER 3,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_bb_squeeze:4;A_mfi_rising_low:3;A_ema_aligned:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
305,NEOGEN,Neogen Chemicals Limited,NSE,Basic Materials,,75.34,2175.6,BULLISH,No VCP,BROKEN OUT (fresh),Premium,ranging,7/8 (exhaustion),21,17,7,5,50,TIER 3,A_rsi_45_65:5;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;D_above_1x1:5
306,AKUMS,Akums Drugs and Pharmaceuticals Limited,NSE,Healthcare,,57.78,664.95,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),21,17,3,9,50,TIER 3,A_rsi_45_65:5;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_fvg:4;B_supply_cleared:3;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4
307,CYIENTDLM,Cyient DLM Limited,NSE,Industrials,,57.69,578.65,BULLISH,No VCP,BROKEN OUT (fresh),Premium,bullish (HH/HL),8/8 (52w high),21,17,7,5,50,TIER 3,A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;D_above_1x1:5
308,POLYPLEX,Polyplex Corporation Limited,NSE,Basic Materials,,28.19,1077.55,BULLISH,No VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),7/8 (exhaustion),13,17,15,5,50,TIER 3,A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;C_chart_pattern:3;D_above_1x1:5
309,KIRLOSENG,Kirloskar Oil Engines Limited,NSE,Industrials,,102.65,2255.7,MILD BULLISH,No VCP,forming / still basing,Premium,ranging,7/8 (exhaustion),23,17,5,5,50,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_mfi_rising_low:3;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;D_above_1x1:5
310,KDDL,KDDL Limited,NSE,Consumer Cyclical,,46.22,3186.8,MILD BULLISH,Moderate VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),20,12,13,5,50,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_vdu:5;D_above_1x1:5
311,ZEEL,Zee Entertainment Enterprises Limited,NSE,Communication Services,,26.25,107.4,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),4/8 (50%),22,12,5,11,50,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_mfi_rising_low:3;A_cci_above0:2;A_ema_aligned:5;B_discount_or_demand:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
312,GOODLUCK,Goodluck India Limited,NSE,Basic Materials,,42.98,1546.6,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),25,17,3,5,50,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_fvg:4;B_supply_cleared:3;C_chart_pattern:3;D_above_1x1:5
313,530249,Bridge Securities Ltd,BSE,,,40.61,17.45,BULLISH,No VCP,forming / still basing,Premium,bearish (LH/LL),7/8 (exhaustion),25,13,3,9,50,TIER 3,A_rsi_45_65:5;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_supply_cleared:3;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4
314,KECL,Kirloskar Electric Company Limited,NSE,Industrials,,43.42,119.11,BULLISH,No VCP,AT PIVOT (actionable),Premium,ranging,5/8,22,9,7,12,50,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_atr_expanding:3;B_discount_or_demand:5;B_fvg:4;C_3rd_leg:7;D_above_1x1:5;D_time_cycle:4;D_room_to_run:3
315,APOLLOHOSP,Apollo Hospitals Enterprise Limited,NSE,Healthcare,,27.68,8826.0,BULLISH,No VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),22,12,7,9,50,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;D_above_1x1:5;D_time_cycle:4
316,QUESS,Quess Corp Limited,NSE,Industrials,,45.13,290.95,BULLISH,No VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),7/8 (exhaustion),16,17,12,5,50,TIER 3,A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;D_above_1x1:5
