symbol,name,exchange,price_180d_ago,past_date_used,price_today,return_pct,mktcap_cr,cap_bucket,sector,avg_daily_volume,avg_daily_value_rs,penny_flag,isin_norm,yahoo_ticker
GNA,GNA Axles Limited,NSE,344.8,2026-01-05,466.0,35.15,2008.73,Small,,197053.0,79133318.0,False,INE934S01014,GNA.NS
540786,Sharika Enterprises Ltd,BSE,13.97,2026-01-05,18.88,35.15,81.75,Micro,,74417.0,1085842.0,False,INE669Y01022,540786.BO
MSTCLTD,Mstc Limited,NSE,529.7,2026-01-05,715.7,35.11,5038.53,Mid,,600548.0,346684829.0,False,INE255X01014,MSTCLTD.NS
PRIVISCL,Privi Speciality Chemicals Limited,NSE,2735.3,2026-01-05,3694.9,35.08,14433.87,Mid,,141461.0,421385199.0,False,INE959A01019,PRIVISCL.NS
FUSION,Fusion Finance Limited,NSE,169.93,2026-01-05,229.4,35.0,3723.58,Small,,532733.0,98226636.0,False,INE139R01012,FUSION.NS
RATEGAIN,Rategain Travel Technologies Limited,NSE,697.9,2026-01-05,941.05,34.84,11143.25,Mid,,486041.0,321633451.0,False,INE0CLI01024,RATEGAIN.NS
526873,Rajasthan Securities Ltd,BSE,39.09,2026-01-05,52.7,34.82,405.12,Micro,,108818.0,4636516.0,False,INE184D01026,526873.BO
GOLDIAM,Goldiam International Limited,NSE,356.4,2026-01-05,480.4,34.79,5427.4,Mid,,808627.0,316754975.0,False,INE025B01025,GOLDIAM.NS
SILVERTUC,Silver Touch Technologies Limited,NSE,135.16,2026-01-05,182.15,34.77,2309.84,Small,,791487.0,148049158.0,False,INE625X01026,SILVERTUC.NS
ABB,ABB India Limited,NSE,5168.5,2026-01-05,6950.5,34.48,147269.96,Large,,359525.0,2255945836.0,False,INE117A01022,ABB.NS
AUROPHARMA,Aurobindo Pharma Limited,NSE,1207.4,2026-01-05,1620.5,34.21,93216.97,Large,,1395726.0,1835198348.0,False,INE406A01037,AUROPHARMA.NS
RPEL,Raghav Productivity Enhancers Limited,NSE,940.2,2026-01-05,1261.5,34.17,5799.25,Mid,,91204.0,81444700.0,False,INE912T01018,RPEL.NS
DCMSIL,DCM Shriram International Limited,NSE,52.21,2026-02-17,70.0,34.07,621.56,Small,,142099.0,11052954.0,False,INE0OU201013,DCMSIL.NS
TAALTECH,Taal Tech Limited,NSE,2986.0,2026-04-20,3991.6,33.68,1239.74,Small,,2102.0,7392397.0,False,INE524T01011,TAALTECH.NS
HALDYNGL,Haldyn Glass Limited,NSE,89.05,2026-04-20,118.92,33.54,645.29,Small,,119144.0,13734370.0,False,INE506D01020,HALDYNGL.NS
WOCKPHARMA,Wockhardt Limited,NSE,1452.4,2026-01-05,1938.5,33.47,31496.2,Large,,1523042.0,2505540937.0,False,INE049B01025,WOCKPHARMA.NS
VIPULLTD,Vipul Limited,NSE,11.52,2026-01-05,15.34,33.16,216.23,Micro,,574641.0,6752196.0,False,INE946H01037,VIPULLTD.NS
LLOYDSME,Lloyds Metals And Energy Limited,NSE,1336.2,2026-01-05,1777.0,32.99,100009.72,Large,,592702.0,852171323.0,False,INE281B01032,LLOYDSME.NS
