symbol,name,exchange,yahoo_ticker,isin,price_180d_ago,past_date_used,price_today,return_pct,avg_daily_volume,avg_daily_value_rs,bars,status
540468,KMS Medisurgi Ltd,BSE,540468.BO,INE870V01014,126.5,2025-12-05,132.8,4.98,19.0,2529.0,155.0,ok
540811,Diggi Multitrade Ltd,BSE,540811.BO,INE158R01012,11.22,2025-12-05,14.0,24.78,2987.0,34675.0,154.0,ok
540843,Rithwik Facility Management Services Ltd,BSE,540843.BO,INE819Y01015,155.0,2025-12-05,155.0,0.0,12.0,2000.0,155.0,ok
540874,7Seas Entertainment Ltd,BSE,540874.BO,INE454F01010,84.2,2025-12-05,80.21,-4.74,14164.0,1141027.0,152.0,ok
540850,Jhandewalas Foods Ltd,BSE,540850.BO,INE841Y01019,38.1,2025-12-05,27.63,-27.48,12483.0,481066.0,153.0,ok
540796,Ratnabhumi Developers Ltd,BSE,540796.BO,INE821Y01011,230.8,2025-12-05,303.0,31.28,2614.0,581086.0,153.0,ok
540829,Chandrima Mercantiles Ltd,BSE,540829.BO,INE371F01024,13.65,2025-12-05,6.5,-52.38,1151835.0,11365001.0,152.0,ok
540694,ANG Lifesciences India Ltd,BSE,540694.BO,INE236W01016,28.28,2025-12-05,28.07,-0.74,5866.0,159295.0,152.0,ok
540809,MRC Agrotech Ltd,BSE,540809.BO,INE333Y01017,50.38,2025-12-05,38.88,-22.83,113983.0,4851206.0,152.0,ok
540455,Escorp Asset Management Ltd,BSE,540455.BO,INE953W01016,155.0,2025-12-05,102.15,-34.1,2957.0,343349.0,153.0,ok
540786,Sharika Enterprises Ltd,BSE,540786.BO,INE669Y01022,13.53,2025-12-05,13.92,2.88,50713.0,627271.0,152.0,ok
540936,Gautam Gems Ltd,BSE,540936.BO,INE063Z01017,3.92,2025-12-05,3.11,-20.66,37616.0,132052.0,152.0,ok
540953,Kenvi Jewels Ltd,BSE,540953.BO,INE923Y01023,2.34,2025-12-05,2.1,-10.26,112380.0,270609.0,152.0,ok
540904,Tirupati Foam Ltd,BSE,540904.BO,INE115G01015,82.89,2025-12-05,92.49,11.58,334.0,28370.0,153.0,ok
540938,Gujarat Hy-Spin Ltd,BSE,540938.BO,INE578V01013,17.95,2025-12-05,9.85,-45.13,12857.0,130881.0,154.0,ok
540782,Sanghvi Brands Ltd,BSE,540782.BO,INE204Y01010,12.75,2025-12-05,13.38,4.94,2025.0,24789.0,155.0,ok
540914,SRU Steels Ltd,BSE,540914.BO,INE425C01017,4.31,2025-12-05,1.9,-55.92,401624.0,1048129.0,152.0,ok
540956,Bhatia Communications & Retail (India) Ltd,BSE,540956.BO,INE341Z01025,26.68,2025-12-05,26.82,0.52,69667.0,1652342.0,152.0,ok
540727,Poojawestern Metaliks Ltd,BSE,540727.BO,INE973X01012,31.65,2025-12-05,19.81,-37.41,17666.0,439982.0,152.0,ok
540696,KCD Industries India Ltd,BSE,540696.BO,INE185U01035,12.29,2025-12-05,3.89,-68.35,52177.0,410081.0,152.0,ok
540787,BHARAT 22 ETF - ICICI Prudential AMC,BSE,540787.BO,INF109KB15Y7,,,,,,,,no_data
540718,Aayush Art And Bullion Ltd,BSE,540718.BO,INE777X01017,1079.45,2025-12-05,1173.4,8.7,69596.0,76963948.0,152.0,ok
540729,Vanta Bioscience Ltd,BSE,540729.BO,INE695X01011,19.56,2025-12-05,23.23,18.76,1606.0,32499.0,155.0,ok
540717,Polo Queen Industrial and Fintech Ltd,BSE,540717.BO,INE689M01025,34.4,2025-12-05,17.62,-48.78,29109.0,709603.0,152.0,ok
540756,Kaarya Facilities and Services Ltd,BSE,540756.BO,INE282Y01016,28.24,2025-12-05,28.24,0.0,580.0,15900.0,155.0,ok
540738,Shreeji Translogistics Ltd,BSE,540738.BO,INE402Y01028,9.94,2025-12-05,9.08,-8.65,48970.0,443720.0,152.0,ok
540728,Sayaji Industries Ltd,BSE,540728.BO,INE327G01032,66.2,2025-12-05,134.2,102.72,4375.0,468120.0,152.0,ok
540737,Shree Ganesh Remedies Ltd,BSE,540737.BO,INE414Y01015,445.05,2025-12-05,650.0,46.05,5159.0,2592200.0,152.0,ok
539767,Mega Nirman and Industries Ltd,BSE,539767.BO,INE216Q01010,32.3,2025-12-05,39.65,22.76,6531.0,229975.0,152.0,ok
539788,Khemani Distributors & Marketing Ltd,BSE,539788.BO,INE030U01025,126.0,2025-12-05,119.6,-5.08,85.0,10886.0,155.0,ok
539762,Modern Engineering And Projects Ltd,BSE,539762.BO,INE250S01015,34.56,2025-12-05,32.86,-4.92,33111.0,1212893.0,152.0,ok
539798,Umiya Tubes Ltd,BSE,539798.BO,INE173U01015,28.34,2025-12-05,39.43,39.13,47255.0,1366929.0,152.0,ok
539784,LIC MF Exchange Traded Fund- NIFTY 100,BSE,539784.BO,INF767K01PC8,288.45,2025-12-04,267.06,-7.42,148.0,41135.0,154.0,ok
539760,Relicab Cable Manufacturing Ltd,BSE,539760.BO,INE773T01014,41.02,2025-12-05,43.09,5.05,11128.0,426906.0,152.0,ok
540204,Eiko Lifesciences Ltd,BSE,540204.BO,INE666Q01016,50.76,2025-12-05,52.32,3.07,10611.0,563104.0,152.0,ok
539730,Fredun Pharmaceuticals Ltd,BSE,539730.BO,INE194R01017,1874.1,2025-12-05,2396.35,27.87,11889.0,21703406.0,152.0,ok
540726,Trident Texofab Ltd,BSE,540726.BO,INE071Y01013,332.1,2025-12-05,41.7,-87.44,40019.0,4703331.0,152.0,ok
539697,Hiliks Technologies Ltd,BSE,539697.BO,INE966Q01010,49.03,2025-12-05,57.58,17.44,9737.0,534145.0,152.0,ok
539814,LE Lavoir Ltd,BSE,539814.BO,INE204S01012,219.45,2025-12-05,143.0,-34.84,4583.0,958131.0,152.0,ok
539692,Interactive Financial Services Ltd,BSE,539692.BO,INE064T01018,18.0,2025-12-05,14.85,-17.5,8746.0,139997.0,152.0,ok
539800,CHD Chemicals Ltd,BSE,539800.BO,INE043U01010,5.7,2025-12-05,6.0,5.26,6957.0,38101.0,152.0,ok
539834,Balgopal Commercial Ltd,BSE,539834.BO,INE119R01014,207.9,2025-12-05,162.1,-22.03,5322.0,958080.0,152.0,ok
539841,Lancer Container Lines Ltd,BSE,539841.BO,INE359U01028,14.26,2025-12-05,10.55,-26.02,545385.0,7964279.0,152.0,ok
539839,Franklin Leasing and Finance Ltd,BSE,539839.BO,INE399S01010,11.0,2025-12-05,8.92,-18.91,438.0,5207.0,155.0,ok
539864,Ghushine Fintrrade Ocean Ltd,BSE,539864.BO,INE009U01011,19.13,2025-12-05,21.2,10.82,3354.0,60576.0,155.0,ok
539835,Superior Finlease Ltd,BSE,539835.BO,INE574R01028,1.48,2025-12-05,2.15,45.27,15715.0,25784.0,152.0,ok
539773,Advik Capital Ltd,BSE,539773.BO,INE178T01024,1.33,2025-12-05,1.33,0.0,1489767.0,2151354.0,152.0,ok
539681,Dynamic Archistructures Ltd,BSE,539681.BO,INE874E01012,46.58,2025-12-05,46.58,0.0,0.0,0.0,155.0,ok
539526,Suncare Traders Ltd,BSE,539526.BO,INE452S01025,0.77,2025-12-05,0.5,-35.06,374126.0,229394.0,152.0,ok
539682,Mobavenue AI Tech Ltd,BSE,539682.BO,INE622Q01019,1259.7,2025-12-05,1337.6,6.18,9044.0,10581065.0,152.0,ok
539680,Ganga Pharmaceuticals Ltd,BSE,539680.BO,INE615T01017,11.68,2025-12-05,12.0,2.74,464.0,5618.0,155.0,ok
539559,Deep Health AI India Ltd,BSE,539559.BO,INE005G01026,8.1,2025-12-05,2.21,-72.72,3155413.0,16856794.0,152.0,ok
539528,Aayush Wellness Ltd,BSE,539528.BO,INE430R01023,32.31,2025-12-05,31.39,-2.85,140056.0,5477422.0,152.0,ok
539544,Abhishek Infraventures Ltd,BSE,539544.BO,INE281P01016,6.9,2025-12-05,8.97,30.0,1517.0,11381.0,153.0,ok
541005,Kanco Tea & Industries Ltd,BSE,541005.BO,INE398L01017,71.95,2025-12-05,56.56,-21.39,1399.0,91913.0,152.0,ok
539527,Creative Castings Ltd,BSE,539527.BO,INE146E01015,584.2,2025-12-05,541.2,-7.36,114.0,64310.0,152.0,ok
539543,Valley Magnesite Company Ltd,BSE,539543.BO,INE834E01016,13.12,2025-12-05,13.12,0.0,0.0,0.0,155.0,ok
539819,Mudra Financial Services Ltd,BSE,539819.BO,INE967S01014,4.1,2025-12-05,4.1,0.0,0.0,0.0,155.0,ok
539679,Kapil Raj Finance Ltd,BSE,539679.BO,INE332Q01023,3.53,2025-12-05,2.96,-16.15,209557.0,617100.0,152.0,ok
