symbol,name,exchange,yahoo_ticker,close,rsi,adx,macd_hist,vol_spike,dist_52wh_pct,adv_value_cr,atr_pct,prime_score,not_extended,checks,vcp_quality,vcp_status,struct,pd_zone,range_pos,near_demand,bull_bos,ob_support,gann_above_1x1,bearish_candle,last_candles,atr,pivot_entry,stop,struct_stop_ref,stop_pct,gann_T1,gann_T2,target2,rr,qty_per_10L,sec_bonus,phase7_score
VADILALIND,Vadilal Industries Limited,NSE,VADILALIND.NS,6716.0,66.1,48.6,-7.747,1.86,-4.02,15.99,3.46,7,False,100111111,Moderate VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,90.6,True,True,True,True,True,Bearish Harami;Bullish Harami;Hanging Man;Inside Bar;NR4,232.12,6997.0,6579.18,6022.0,5.97,7080.9,7165.3,8746.25,4.19,23,7,11
WELCORP,Welspun Corp Limited,NSE,WELCORP.NS,1581.5,57.6,36.4,6.315,4.03,-6.9,158.65,3.61,8,False,110111111,No VCP,BROKEN OUT (fresh),bullish (HH/HL),Premium,88.1,True,True,True,True,True,Bearish Marubozu;Bullish Pin Bar;Hanging Man;Tweezer Top,57.08,1698.8,1596.06,1394.0,6.05,1740.27,1782.23,2123.5,4.13,97,6,11
TVSSCS,TVS Supply Chain Solutions Limited,NSE,TVSSCS.NS,135.54,51.7,28.7,-0.682,0.9,-7.48,9.2,3.66,6,True,001011111,Strong VCP,forming / still basing,bullish (HH/HL),Premium,80.5,True,True,False,True,False,none,4.97,146.5,137.56,129.16,6.1,158.85,171.71,183.12,4.1,1118,5,11
ETHOSLTD,Ethos Limited,NSE,ETHOSLTD.NS,2663.1,67.4,33.8,16.868,3.12,-17.95,9.79,3.51,7,True,110110111,No VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,80.3,True,True,True,True,True,Bearish Pin Bar;Bullish Pin Bar;Doji;Dragonfly Doji;Hanging ,93.39,2713.0,2544.91,2369.7,6.2,2765.34,2818.17,3391.25,4.04,59,7,11
LODHA,Lodha Developers Limited,NSE,LODHA.NS,1188.75,72.3,46.3,9.395,0.87,-18.66,273.1,3.57,7,True,110011111,No VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,93.7,True,True,True,True,True,Morning Star;NR7;Three White Soldiers;Tweezer Top,42.4,1225.2,1148.87,905.85,6.23,1260.45,1296.21,1531.5,4.01,131,7,11
MMFL,MM Forgings Limited,NSE,MMFL.NS,527.6,71.5,30.5,3.817,1.15,-1.2,5.69,3.52,6,False,110011110,No VCP,BROKEN OUT (fresh),bullish (HH/HL),Premium,96.3,False,True,True,True,False,Doji;Outside Bar,18.58,534.0,500.55,431.1,6.26,557.36,581.22,667.5,3.99,298,5,11
543920,CFF Fluid Control Ltd,BSE,543920.BO,917.6,66.4,29.8,1.682,4.14,-0.12,3.04,3.49,8,False,111111110,No VCP,BROKEN OUT (fresh),bullish (HH/HL),Premium,99.7,True,True,True,True,True,Bullish Pin Bar;Dragonfly Doji;Hammer;Hanging Man;Inside Bar,32.04,917.6,859.92,804.0,6.29,948.14,979.18,1147.0,3.98,173,6,11
GCSL,Gretex Corporate Services Limited,NSE,GCSL.NS,525.7,75.7,34.6,4.211,2.58,-0.44,25.98,3.5,6,False,010111110,No VCP,BROKEN OUT (fresh),bullish (HH/HL),Premium,99.1,False,True,True,True,False,none,18.39,525.7,492.59,409.1,6.3,548.88,572.56,657.12,3.97,302,5,11
APOLLOPIPE,Apollo Pipes Limited,NSE,APOLLOPIPE.NS,499.5,53.5,20.7,2.591,0.8,-9.84,11.74,3.76,7,True,011011111,No VCP,BROKEN OUT (fresh),ranging,Premium,81.8,True,True,True,True,True,Bearish Engulfing;Outside Bar;Tweezer Top,18.79,524.0,490.17,464.0,6.46,547.14,570.78,655.0,3.87,295,7,11
GABRIEL,Gabriel India Limited,NSE,GABRIEL.NS,1336.6,65.3,38.9,5.162,5.55,-3.7,48.74,3.71,8,False,110111111,No VCP,BROKEN OUT (fresh),bullish (HH/HL),Premium,93.6,True,True,True,True,True,Bullish Pin Bar;Hanging Man;Inside Bar,49.62,1373.6,1284.29,1196.4,6.5,1410.91,1448.72,1717.0,3.85,111,6,11
