rank,symbol,sector,num_conf,CMP,entry_aggressive,entry_conservative,entry_pullback,SL_chosen,SL_rule,SL_VCP_low,SL_OB_low,SL_EMA21,SL_Demand_low,risk_per_share,ATR,T1_atrx3,T2_resistance,T3_gann_sq9,T4_measured_move,RR_at_T1,shares_10L_1pct,position_value,actual_risk_rs,actual_risk_pct,BE_trail_at,weekly_exit
11,UTTAMSUGAR,Consumer Defensive,4,246.85,246.85,248.15,238.04,238.78,EMA21,226.1,215.8,238.78,181.1,8.07,9.76,276.13,255.68,254.77,269.2,3.63,1239,305847.0,9999.0,1.0,261.49,close < 21EMA (weekly)
12,JGCHEM,Basic Materials,4,417.35,417.35,454.61,420.24,407.61,EMA21,378.2,404.0,407.61,396.05,9.74,17.29,469.21,422.0,427.63,566.85,5.32,1026,428201.0,9993.0,1.0,443.28,close < 21EMA (weekly)
13,ELECON,Industrials,4,531.35,531.35,551.1,515.73,505.51,EMA21,469.65,403.0,505.51,400.5,25.84,21.27,595.17,547.0,542.94,699.5,2.47,386,205101.0,9974.0,1.0,563.26,close < 21EMA (weekly)
14,HEMIPROP,Real Estate,4,141.07,141.07,153.85,143.97,137.1,VCP_base_low,137.1,140.0,140.16,128.12,3.97,5.34,157.08,142.5,147.07,186.37,4.03,2518,355214.0,9996.0,1.0,149.08,close < 21EMA (weekly)
15,BORORENEW,Technology,4,524.3,524.3,519.09,521.1,509.37,EMA21,485.45,490.05,509.37,495.8,14.93,21.07,587.52,529.9,535.81,587.8,4.23,669,350757.0,9988.0,1.0,555.91,close < 21EMA (weekly)
16,TEMBO,Industrials,4,597.05,597.05,657.51,597.87,549.0,VCP_base_low,549.0,549.0,590.43,535.65,48.05,23.75,668.29,600.25,609.33,786.9,1.48,208,124186.0,9994.0,1.0,632.67,close < 21EMA (weekly)
17,GREENPOWER,Utilities,4,11.22,11.22,11.76,11.31,10.41,OB_low,9.37,10.41,11.21,10.41,0.81,0.46,12.61,11.44,12.96,14.11,1.72,12345,138511.0,9999.0,1.0,11.92,close < 21EMA (weekly)
18,INDIGOPNTS,Basic Materials,4,954.2,954.2,1010.87,972.73,932.05,VCP_base_low,932.05,917.7,952.33,840.7,22.15,36.25,1062.96,1004.55,969.71,1242.7,4.91,451,430344.0,9990.0,1.0,1008.58,close < 21EMA (weekly)
19,VMART,Consumer Cyclical,4,665.55,665.55,695.39,669.94,651.56,EMA21,612.0,457.9,651.56,457.9,13.99,21.9,731.24,689.9,678.51,792.0,4.7,714,475203.0,9989.0,1.0,698.39,close < 21EMA (weekly)
20,KAMDHENU,Basic Materials,4,24.98,24.98,25.95,24.71,24.26,EMA21,22.87,22.87,24.26,20.75,0.72,1.27,28.79,25.4,27.54,30.7,5.29,13888,346922.0,9999.0,1.0,26.89,close < 21EMA (weekly)
21,JAGSNPHARM,Healthcare,4,203.04,203.04,214.48,204.13,196.0,OB_low,194.61,196.0,202.67,184.5,7.04,7.19,224.62,204.95,210.23,243.6,3.07,1420,288317.0,9997.0,1.0,213.83,close < 21EMA (weekly)
22,LIKHITHA,Energy,4,216.39,216.39,211.42,202.94,201.56,EMA21,185.2,155.5,201.56,155.5,14.83,9.67,245.41,224.89,223.81,236.8,1.96,674,145847.0,9995.0,1.0,230.9,close < 21EMA (weekly)
23,RITES,Industrials,4,210.49,210.49,209.32,204.49,205.04,EMA21,198.32,219.0,205.04,,5.45,5.78,227.82,212.4,217.81,219.48,3.18,1834,386039.0,9995.0,1.0,219.16,close < 21EMA (weekly)
24,LXCHEM,Basic Materials,4,158.66,158.66,163.33,156.09,152.09,EMA21,144.7,147.05,152.09,144.7,6.57,7.59,181.43,163.0,165.02,204.89,3.47,1522,241481.0,10000.0,1.0,170.04,close < 21EMA (weekly)
25,RUPA,Consumer Cyclical,4,152.89,152.89,165.32,153.52,149.54,EMA21,138.75,137.0,149.54,139.71,3.35,5.8,170.28,153.84,159.13,199.88,5.19,2985,456377.0,10000.0,1.0,161.59,close < 21EMA (weekly)
26,SINDHUTRAD,Industrials,4,25.59,25.59,27.54,26.03,25.19,EMA21,21.64,21.64,25.19,21.64,0.4,1.14,29.0,25.8,28.18,33.34,8.53,25000,639750.0,10000.0,1.0,27.3,close < 21EMA (weekly)
27,TAJGVK,Consumer Cyclical,4,331.9,331.9,349.9,352.7,324.6,EMA21,297.15,301.5,324.6,333.65,7.3,11.5,366.41,341.9,341.07,401.25,4.73,1369,454371.0,9994.0,1.0,349.15,close < 21EMA (weekly)
28,SAMHI,Consumer Cyclical,4,162.05,162.05,171.24,163.96,158.84,EMA21,141.21,144.15,158.84,141.21,3.21,5.91,179.79,164.3,168.48,200.59,5.53,3115,504786.0,9999.0,1.0,170.92,close < 21EMA (weekly)
29,TVSELECT,Technology,4,470.15,470.15,549.1,483.85,462.2,OB_low,442.7,462.2,474.84,442.7,7.95,24.82,544.62,485.6,481.05,705.45,9.37,1257,590979.0,9993.0,1.0,507.38,close < 21EMA (weekly)
30,BOMDYEING,Consumer Cyclical,4,122.95,122.95,133.68,124.08,117.06,VCP_base_low,117.06,123.37,122.18,111.51,5.89,4.87,137.57,124.34,128.56,162.52,2.48,1697,208646.0,9995.0,1.0,130.26,close < 21EMA (weekly)
31,AVANTEL,Technology,3,169.94,169.94,188.68,172.94,165.82,EMA21,144.16,147.1,165.82,122.63,4.12,7.54,192.55,173.44,176.52,232.44,5.49,2427,412444.0,9999.0,1.0,181.25,close < 21EMA (weekly)
32,RPSGVENT,Technology,3,930.15,930.15,961.92,984.6,889.2,VCP_base_low,889.2,873.1,917.74,862.8,40.95,40.23,1050.83,960.0,945.46,1117.75,2.95,244,226957.0,9992.0,1.0,990.49,close < 21EMA (weekly)
33,MOTILALOFS,Financial Services,3,855.35,855.35,910.82,862.26,821.1,VCP_base_low,821.1,777.15,845.17,,34.25,26.26,934.13,866.0,870.04,1065.45,2.3,291,248907.0,9967.0,1.0,894.74,close < 21EMA (weekly)
34,APTUS,Financial Services,3,265.3,265.3,264.53,262.11,258.84,EMA21,250.5,253.75,258.84,210.24,6.46,8.93,292.1,267.9,273.51,312.07,4.15,1547,410419.0,9994.0,1.0,278.7,close < 21EMA (weekly)
35,PFS,Financial Services,3,30.88,30.88,31.94,33.4,30.34,EMA21,29.52,29.63,30.34,29.64,0.54,0.84,33.4,31.88,33.72,35.56,4.67,18518,571836.0,10000.0,1.0,32.14,close < 21EMA (weekly)
36,MINDTECK,Technology,3,212.49,212.49,221.44,212.45,207.46,EMA21,195.0,202.54,207.46,174.1,5.03,10.97,245.39,213.87,219.84,267.9,6.54,1988,422430.0,10000.0,1.0,228.94,close < 21EMA (weekly)
37,APTECHT,Consumer Defensive,3,104.97,104.97,115.69,104.54,102.0,EMA21,93.8,94.39,102.0,93.8,2.97,5.1,120.27,105.8,110.16,149.82,5.15,3367,353434.0,10000.0,1.0,112.62,close < 21EMA (weekly)
38,NELCO,Technology,3,697.6,697.6,717.38,693.31,680.21,EMA21,640.9,663.0,680.21,625.05,17.39,25.82,775.06,715.95,710.87,833.15,4.45,575,401120.0,9999.0,1.0,736.33,close < 21EMA (weekly)
