symbol,mcap_cr,yahoo_ticker,name,exchange,CMP,dist_52wh_pct,rsi,adx,above_ema200,above_ema50,vol_drying,vol_spike10,base_depth_pct,weeks_base,cmf,macd_hist,confA_macd,confB_cmf,confC_obv,confE_vcp,confF_no_supply,gannG_sq9,gannH_cycle,next_resistance,vcp_contractions
APOLLO,15054.52,APOLLO.NS,Apollo Micro Systems Limited,NSE,421.35,5.72,68.7,47.9,True,True,False,True,49.1,84.4,-0.012,1.334,False,False,False,False,True,True,True,433.8,3
ARVINDFASN,6284.63,ARVINDFASN.NS,Arvind Fashions Limited,NSE,469.3,18.95,57.0,19.8,True,True,True,False,15.9,88.4,0.161,2.083,False,True,False,True,True,True,True,476.0,3
ASAHIINDIA,22957.47,ASAHIINDIA.NS,Asahi India Glass Limited,NSE,901.9,16.02,60.9,21.8,True,True,False,True,16.5,85.4,0.096,3.972,False,True,False,True,True,True,True,922.3,3
ASHAPURMIN,6716.44,ASHAPURMIN.NS,Ashapura Minechem Limited,NSE,702.75,24.02,57.3,39.6,True,True,False,True,35.3,84.8,0.077,2.815,False,True,False,False,False,True,True,709.0,3
ARIS,931.67,ARIS.NS,Arisinfra Solutions Limited,NSE,113.89,45.38,37.1,26.5,False,False,True,True,31.4,82.2,-0.261,-1.732,True,False,False,True,False,True,False,116.33,3
ARIHANTSUP,1122.77,ARIHANTSUP.NS,Arihant Superstructures Limited,NSE,260.05,44.08,51.4,43.8,False,True,False,False,26.7,88.4,-0.49,0.817,False,False,False,True,True,True,True,270.0,3
AQYLON,1526.95,AQYLON.NS,Aqylon Nexus Limited,NSE,60.07,96.5,51.6,24.2,False,False,False,True,35.9,84.4,0.247,0.389,False,True,False,True,True,False,True,62.45,2
APOLLOHOSP,119392.31,APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,NSE,8304.5,1.64,61.6,19.5,True,True,False,True,12.3,85.8,0.053,-13.619,False,True,True,False,True,True,True,8443.0,3
ARKADE,2088.72,ARKADE.NS,Arkade Developers Limited,NSE,112.63,47.29,42.6,15.8,False,False,True,True,16.0,88.4,-0.165,-0.803,False,False,True,True,False,True,True,119.95,3
APOLLOPIPE,2192.94,APOLLOPIPE.NS,Apollo Pipes Limited,NSE,497.85,10.14,53.4,36.1,True,True,True,False,24.0,86.2,0.207,-5.732,False,True,True,True,False,True,True,528.0,3
ARFIN,1501.8,ARFIN.NS,Arfin India Limited,NSE,89.24,15.97,44.1,19.2,True,False,False,False,20.0,73.6,-0.07,-0.763,False,False,True,False,True,False,True,97.8,3
APOLLOTYRE,25159.52,APOLLOTYRE.NS,Apollo Tyres Limited,NSE,396.8,26.59,49.3,11.2,False,False,False,True,18.7,91.0,-0.228,2.506,False,False,False,True,False,True,False,400.75,3
APTECHT,608.45,APTECHT.NS,Aptech Limited,NSE,104.97,35.99,55.6,20.8,True,True,False,True,29.8,85.8,0.168,-0.222,False,True,True,True,False,True,True,105.8,3
ARIHANTCAP,727.83,ARIHANTCAP.NS,Arihant Capital Markets Limited,NSE,66.65,44.46,41.3,12.1,False,False,True,False,16.3,88.0,-0.35,-0.198,True,False,True,True,True,False,True,70.92,3
APTUS,13287.21,APTUS.NS,Aptus Value Housing Finance India Limited,NSE,265.3,27.12,55.3,30.4,False,True,True,False,26.5,88.2,-0.049,-1.106,True,False,False,True,True,True,True,267.9,3
ATGL,83833.02,ATGL.NS,Adani Total Gas Limited,NSE,762.25,11.35,64.3,44.0,True,True,False,True,35.9,85.0,0.049,4.149,False,True,False,False,True,True,True,781.7,3
ASHIANA,3533.45,ASHIANA.NS,Ashiana Housing Limited,NSE,352.8,9.4,46.1,25.8,True,True,True,True,19.7,88.0,0.193,-3.831,False,True,False,True,True,True,True,356.0,3
ATL,610.99,ATL.NS,Allcargo Terminals Limited,NSE,24.21,40.24,43.5,11.1,False,False,True,False,18.0,87.6,-0.298,-0.14,False,False,False,True,False,False,True,25.99,3
ARE&M,15561.73,ARE&M.NS,Amara Raja Energy & Mobility Limited,NSE,850.25,19.62,48.7,16.0,False,True,True,True,24.5,90.2,-0.01,-2.659,False,False,True,True,False,True,True,862.85,3
ATHERENERG,39575.5,ATHERENERG.NS,Ather Energy Limited,NSE,1033.6,1.28,66.0,35.6,True,True,True,True,20.7,84.4,0.012,6.647,False,True,False,False,True,True,False,1047.0,3
AUBANK,72537.89,AUBANK.NS,AU Small Finance Bank Limited,NSE,969.4,10.2,44.3,15.8,True,False,True,True,12.8,90.0,-0.039,-3.771,False,False,False,True,False,True,True,976.05,3
ASKAUTOLTD,8659.49,ASKAUTOLTD.NS,ASK Automotive Limited,NSE,438.65,24.17,46.0,13.9,False,False,True,False,10.1,88.4,-0.026,-2.359,False,False,True,True,True,True,True,444.0,3
